route,artistA,artistB,sharedImages,maxCos,medianCos,worksA,worksB,nameRelation,familyNameRisk,ulanA,ulanB,bornA,bornB,diedA,diedB,datesAgree,exampleTitleA,exampleTitleB,exampleWorkA,exampleWorkB
nameVariant,L.S. Lowry,Laurence Stephen Lowry,26,0.9781,0.9536,20,478,tokenSubset,0,,http://vocab.getty.edu/ulan/500022208,1887,1887,1976,1976,1,Level Crossing with Train,Level Crossing with Train,forum-154341,bonhams-24140-66
nameVariant,Yoshimoto Nara,Yoshitomo Nara,9,0.9997,0.9834,2,106,oneTokenDiffers,0,,http://vocab.getty.edu/ulan/500033169,1959,1959,,,1,Real One,Real One,forum-115680,forum-161488
nameVariant,C R W Nevinson,Christopher Richard Wynne Nevinson ARA,7,0.9708,0.9528,6,200,tokenSubset,0,,http://vocab.getty.edu/ulan/500031355,,1889,,1946,0,Assembling Parts,Making the Engine,bonhams-11965-152,bonhams-cw-Christopher_Richard_Wynne_Nevinson-Leicester_Galleries-27-making_the_engine
nameVariant,Edouardo Poalozzi,Eduardo Paolozzi,6,0.9505,0.9432,1,550,spellingNearMiss,0,,http://vocab.getty.edu/ulan/500027981,1924,1924,2005,2005,1,B.A.S.H. (Orange variant),Bash (Turquoise),bonhams-15671-208,forum-115652
nameVariant,Francisco José de Goya y Lucientes,Francisco de Goya,5,0.9708,0.9438,78,25,tokenSubset,0,,,1746,1746,1828,1828,1,Que Sacrificio!,Que Sacrificio !,bonhams-cw-Francisco_de_Goya-Harris-49-que_sacrificio,bonhams-cw-Francisco_José_de_Goya_y_Lucientes-Harris-49-que_sacrificio
nameVariant,Peter Blake,Peter Blake RDI,3,0.9834,0.9684,448,2,tokenSubset,0,http://vocab.getty.edu/ulan/500021263,,1932,1932,,,1,"Study for a poster for Frankenstein, from the Royal College of Art Artist's Choice Portfolio",Study For A Poster For Frankenstein,forum-153218,roseberys-a0793-lot126
nameVariant,Anthony Caro,Antony Caro,3,0.9808,0.9776,7,1,oneTokenDiffers,0,http://vocab.getty.edu/ulan/500115345,,1924,,2013,,0,Reclining female nude,Nude,bonhams-11050-98,roseberys-a0793-lot101
nameVariant,Sam Taylor-Johnson,Sam Taylor-Wood,3,0.9758,0.9622,14,8,oneTokenDiffers,0,http://vocab.getty.edu/ulan/500057414,,1967,1967,,,1,Sergeant Wenninger and Me (2004),Sergeant Wenninger and Me,forum-147052,forum-75973
nameVariant,"Da Rembrandt van Rijn Ebrei in Sinagoga, acquaforte, su carta vergellata priva di filigrana ma riconducibile all'inizio del XVIII secolo, dimensioni della lastra: 73 x 131 mm, foglio: 84x 140 mm.",Rembrandt van Rijn,3,0.9521,0.9375,1,507,tokenSubset,0,,http://vocab.getty.edu/ulan/500011051,1606,1606,1669,1669,1,§,Jews in the Synagogue,forum-36644,"bonhams-cw-Rembrandt_Harmensz_van_Rijn-B.,_Holl.-126-jews_in_the_synagogue"
nameVariant,J.R,JR,2,0.9833,0.9822,7,25,spellingNearMiss,0,,http://vocab.getty.edu/ulan/500404197,1971,1983,,,0,Women are Heroes,"Women are heroes: Pont Louis Philippe, Paris 2009",forum-33052,roseberys-a0612-lot593
nameVariant,Andy Warhol and Jean-Michel Basquiat,Jean-Michel Basquiat and Andy Warhol,2,0.9802,0.9692,4,3,sameTokens,0,,,1928,1960,1987,1988,0,Poster for Warhol/Basquiat Paintings (Poster),Poster for Warhol/Basquiat Paintings,bonhams-19984-322,roseberys-a0368-lot226
nameVariant,Frederick L Griggs,Frederick Landseer Griggs,2,0.9786,0.9557,12,15,tokenSubset,1,,http://vocab.getty.edu/ulan/500025866,,1876,,1938,0,Lone End,Lone End,bonhams-cw-Frederick_L_Griggs-Comstock-43-lone_end,bonhams-cw-Frederick_Landseer_Maur_Griggs-Comstock-43-lone_end
