status,name,survivor,survivorAtMerge,rule,decidedBy,ruleVersion,evidence,at,source,detail
event,Adolf Dehn,Adolf Arthur Dehn,Adolf Arthur Dehn,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Adriaen van Ostade,Adriaen Jansz. van Ostade,,nameFuzzyImageCorroborated,rule,ARTIST-MERGE-3.x band-b,"splink band B, B3 fuzzy, DINOv2 corroborated; name level token_subset; match weight 32.98; DINOv2 max 0.957",2026-09-15T21:31:52.259674+00:00,band_b_presnapshot_2026-09-15T213152.json,
event,Alan J. Shields,Alan Shields,Alan Shields,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Albert Belleroche,Albert de Belleroche,Albert de Belleroche,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Alexandre Archipenko,Alexander Archipenko,Alexander Archipenko,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9433, name relation oneTokenDiffers; birth year absent on one side; survivor holds the larger body of work",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
event,Alexej von Jawlensky,Alexej Jawlensky,Alexej Jawlensky,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Almir Mavignier,Almir da Silva Mavignier,Almir da Silva Mavignier,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Anders Leonard Zorn,Anders Zorn,Anders Zorn,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Angela Bing Jansen,Angela Jansen,Angela Jansen,humanPairs,human,ARTIST-MERGE-3.x pairs,reviewed pairs run; the snapshot records no evidence,2026-09-15T21:56:01.573807+00:00,artist_pairs_presnapshot_2026-09-15T215601.json,
event,Anthony Alfred Caro,Anthony Caro,Anthony Caro,aliasShadowing,human,ARTIST-MERGE-3.x pairs,unpriced duplicate of an aliased name (Swann ingest),2026-09-16T13:16:05.918957+00:00,artist_pairs_presnapshot_2026-09-16T131605.json,
event,Anthony Gormley,Antony Gormley,Antony Gormley,humanPairs,human,ARTIST-MERGE-3.x pairs,"shared-image scan: 1 near-duplicate image pair(s), max cosine 0.9916, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13T08:04:26.688434+00:00,artist_pairs_presnapshot_2026-09-13T080426.json,
