canon,dup,keepName,evidence,addedOn
James McNeill Whistler PRBA HRSA RSW,James Abbott McNeill Whistler,,"one person held as four nodes; b.1834 d.1903 American on both; canon carries ULAN 500012432 and Wikidata Q203643, dup carries none. Found by DINOv2 cross-attribution scan: the same Billingsgate etching under three artist names at cosine 0.93-0.97",2026-09-13
James McNeill Whistler PRBA HRSA RSW,James Abbott McNeil Whistler,,"same person, 'McNeil' misspelt; titles are unmistakable Whistler etchings (La Vieille aux Loques, The Menpes Children, Swan and Iris); no ULAN so no ULAN pass could link it",2026-09-13
James McNeill Whistler PRBA HRSA RSW,James A McNeil Whistler,James Abbott McNeill Whistler,"same person, initial-and-misspelling form; holds four Billingsgate/Fulham etchings. Survivor renamed to the full form, which 209 of the 257 works already used and which the ULAN node itself lists in alternateNames",2026-09-13
Laurence Stephen Lowry,L.S. Lowry,,"shared-image scan: 26 near-duplicate image pair(s), max cosine 0.9781, name relation tokenSubset; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Yoshitomo Nara,Yoshimoto Nara,,"shared-image scan: 9 near-duplicate image pair(s), max cosine 0.9997, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Christopher Richard Wynne Nevinson ARA,C R W Nevinson,,"shared-image scan: 7 near-duplicate image pair(s), max cosine 0.9708, name relation tokenSubset; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Eduardo Paolozzi,Edouardo Poalozzi,,"shared-image scan: 6 near-duplicate image pair(s), max cosine 0.9505, name relation spellingNearMiss; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Francisco José de Goya y Lucientes,Francisco de Goya,,"shared-image scan: 5 near-duplicate image pair(s), max cosine 0.9708, name relation tokenSubset; birth year agrees on both sides; survivor holds the larger body of work",2026-09-13
Peter Blake,Peter Blake RDI,,"shared-image scan: 3 near-duplicate image pair(s), max cosine 0.9834, name relation tokenSubset; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Anthony Caro,Antony Caro,,"shared-image scan: 3 near-duplicate image pair(s), max cosine 0.9808, name relation oneTokenDiffers; birth year absent on one side; survivor holds the Getty ULAN",2026-09-13
Sam Taylor-Johnson,Sam Taylor-Wood,,"shared-image scan: 3 near-duplicate image pair(s), max cosine 0.9758, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Andy Warhol and Jean-Michel Basquiat,Jean-Michel Basquiat and Andy Warhol,,"shared-image scan: 2 near-duplicate image pair(s), max cosine 0.9802, name relation sameTokens; birth year absent on one side; survivor holds the larger body of work",2026-09-13
Nicolas Party,Nicholas Party,,"shared-image scan: 2 near-duplicate image pair(s), max cosine 0.9735, name relation oneTokenDiffers; birth year agrees on both sides; survivor holds the Getty ULAN",2026-09-13
Yoshitomo Nara & Hiroshi Sugimoto,Yoshitomo Nara and Hiroshi Sugito,,"shared-image scan: 2 near-duplicate image pair(s), max cosine 0.9629, name relation oneTokenDiffers; birth year agrees on both sides; survivor is the correct spelling",2026-09-13
