canon,dup,keepName,rule,evidence
Cecil Beaton,Cecil Walter Hardy Beaton,,reappearedName,"same person: full name form; both British photographer, share 2 works"
Federico Castellón,Federico Castellon,,reappearedName,same person: accent dropped by Swann
Francisco José de Goya,Francisco Goya,,reappearedName,same person: both 1746-1828
Félix Hilaire Buhot,Félix-Hilaire Buhot,,reappearedName,same person: hyphenation; both 1847-1898
Henri-Edmond Cross,Henri Edmond Cross,,reappearedName,same person: hyphenation
Honoré Daumier,Honore Daumier,,reappearedName,same person: accent dropped; both 1808-1879
James McBey,James Mcbey,,reappearedName,same person: capitalisation
Jean François Raffaëlli,Jean-François Raffaëlli,,reappearedName,same person: hyphenation
Louis Marcoussis,"MARCOUSSIS Louis (MARKUS Ludwik Kazimierz, dit)",,reappearedName,same person: Picasso-Paris catalogue form of Louis Marcoussis (born Ludwik Markus)
Mark Andrew Godwin,Mark Andrews Godwin,,reappearedName,same person: Roseberys typo; share a work
Peter Peri,Peter Laszlo Peri,,reappearedName,"same person: Hungarian, d.1967; share a work"
Romare Bearden,Romare Howard Bearden,,reappearedName,same person: ULAN 500007871 1911-1988; share a work
Stefano Della Bella,Stefano della Bella,,reappearedName,same person: capitalisation; ULAN 500018966 1610-1664
Storm Thorgerson,Storm Elvin Thorgerson,,reappearedName,same person: full name form; share a work
Théophile Alexandre Steinlen,Theophile Alexander Steinlen,,reappearedName,same person: ULAN 500017451; share a work
William Crutchfield,William Richard Crutchfield,,reappearedName,same person: full name form; share a work
Zoran Mušič,Zoran Antonio Music,,reappearedName,"same person: ULAN 500000140, both 1909-2005"
Vincent van Gogh,Vincent Van Gogh,,reappearedName,"same person, the painter 1853-1890; 'Vincent Van Gogh' carried ULAN 500337743, which is his uncle the art dealer (1820-1888) - wrong ULAN, dropped with the node; survivor keeps 500115588 / Q5582"
Antonio Canal called Canaletto,Antonio Canal known as il Canaletto,,reappearedName,Canaletto (Antonio Canal) 1697-1768 split three ways; ULAN 500115269
Antonio Canal called Canaletto,Giovanni Antonio Canaletto,,reappearedName,Canaletto (Antonio Canal) 1697-1768 split three ways; ULAN 500115269
Mr Brainwash,Brainwash (French b. 1966-) &,,wrapperName,Roseberys multi-work-lot wrapper name for Mr Brainwash
Mr Brainwash,Mr Brainwash (French b. 1966-) &,,wrapperName,Roseberys multi-work-lot wrapper name for Mr Brainwash
Connor Brothers,Connor Brothers (British b. 1968-) &,,wrapperName,Roseberys multi-work-lot wrapper name for Connor Brothers
Connor Brothers,The Connor Brothers (British b. 1968-) &,,wrapperName,Roseberys multi-work-lot wrapper name for Connor Brothers
Richard Wentworth,Richard Wentworth (British b.1947-) &,,wrapperName,Roseberys multi-work-lot wrapper name for Richard Wentworth
Richard Wentworth,Richard Wentworth CBE (British b.1947-) &,,wrapperName,Roseberys multi-work-lot wrapper name for Richard Wentworth
