artist,ulanUrl,isPrintmaker,born,died
Achille Isidore Gilbert,http://vocab.getty.edu/page/ulan/500107902,True,1828,1899
Achille Jacquet,http://vocab.getty.edu/page/ulan/500049911,True,1846,1908
Achille Louis Martinet,http://vocab.getty.edu/page/ulan/500042522,True,1806,1877
Achille-Émile Othon Friesz,http://vocab.getty.edu/page/ulan/500031339,True,1879,1949
Adolf Zdrasila,http://vocab.getty.edu/page/ulan/500495288,False,1868,1942
Adolphe D' Hastrel,http://vocab.getty.edu/page/ulan/500034604,True,1805,1874
Adolphe Giraldon,http://vocab.getty.edu/page/ulan/500537769,False,1855,1933
Adolphe Martial Potémont,http://vocab.getty.edu/page/ulan/500026628,True,1827,1883
Adriaen van Ostade,http://vocab.getty.edu/page/ulan/500021654,True,1610,1685
Albert André,http://vocab.getty.edu/page/ulan/500012248,False,1869,1954
Albert Baertsoen,http://vocab.getty.edu/page/ulan/500046985,True,1866,1922
Albert Brendel,http://vocab.getty.edu/page/ulan/500010235,True,1827,1895
Albert De Balleroy,http://vocab.getty.edu/page/ulan/500049277,True,1828,1873
Albert Maignan,http://vocab.getty.edu/page/ulan/500032571,False,1845,1908
Albert Marquet,http://vocab.getty.edu/page/ulan/500022386,True,1875,1947
Albert Robida,http://vocab.getty.edu/page/ulan/500009747,True,1848,1926
Albert Welti,http://vocab.getty.edu/page/ulan/500005880,True,1862,1912
Albert-Marie Dagnaux,http://vocab.getty.edu/page/ulan/500561222,False,1861,1933
Alexandre Lunois,http://vocab.getty.edu/page/ulan/500060215,True,1863,1916
Alexandre Ségé,http://vocab.getty.edu/page/ulan/500024209,True,1818,1885
Alfred Bentley,http://vocab.getty.edu/page/ulan/500332712,True,1879,1923
Alfred Cadart,http://vocab.getty.edu/page/ulan/500098882,True,1828,1875
Alfred East,http://vocab.getty.edu/page/ulan/500021917,True,1844,1913
Alfred Liedtke,http://vocab.getty.edu/page/ulan/500432806,False,1877,1914
Alfred Sisley,http://vocab.getty.edu/page/ulan/500027485,True,1839,1899
Alfred-Alexandre Delauney,http://vocab.getty.edu/page/ulan/500119500,True,1830,1895
Alfred-Louis Brunet-Debaines,http://vocab.getty.edu/page/ulan/500109918,True,1845,1939
