artist,works,reason,ulanCandidates,ulanPrefName,graphYear,ulanYear
Adolphe Braun,1,no_dates_to_compare,500016067,"Braun, Adolphe",,1811
Alfred-Léon Lemercier,13,date_conflict,500041176,"Lemercier, Alfred Léon",1831/1831,1820
Alois Hänisch,3,ambiguous,500058900;500058983,,1866,
Alphonse Léon Noël,1,no_dates_to_compare,500056927,"Noël, Alphonse Léon",,1807
Antoine Carree,1,ambiguous,500043046;500453835,,,
Antoine Guindrand,3,no_dates_to_compare,500085599,"Guindrand, Antoine",,1801
Anton Albers,1,date_conflict,500171562,"Albers, Anton",1877/1877,1765
Auguste Gaspard Louis Desnoyers,1,no_dates_to_compare,500080464,"Desnoyers, Auguste Gaspard Louis",,1779
Augustin Claude Simon Legrand,1,no_dates_to_compare,500033661,"Legrand, Auguste-Claude-Simon",,1765
Benedetto Eredi,1,no_dates_to_compare,500331093,"Eredi, Benedetto",,1750
Benoît I Audran,1,no_dates_to_compare,500043033,"Audran, Benoit, I",,1661
Charles Martin,1,ambiguous,500019327;500032565;500061404;500093507;500104318;500348222;500403328,,1884,
Charles-Nicolas père Cochin,2,no_dates_to_compare,500008603,"Cochin, Charles-Nicolas, the elder",,1688
Clément Bellenger,1,no_dates_to_compare,500041588,"Bellenger, Clément Édouard",,1851
Edmond Morin,1,no_dates_to_compare,500043504,"Morin, Edmond",,1824
Erich Buttner,1,ambiguous,500045733;500454901,,1889,
Etienne Picart,1,no_dates_to_compare,500025816,"Picart, Etienne",,1632
Eugène Delacroix,5,ambiguous,500037170;500115509,,1798,
Eugène Gaujean,1,no_dates_to_compare,500044559,"Gaujean, Eugène",,1850
Ferdinand Schmutzer,1,ambiguous,500048149;500170415,,1870,
François Chauveau,2,no_dates_to_compare,500012189,"Chauveau, François",,1613
Georges Dupré,1,ambiguous,500123498;500298860,,1807,
Godefroy I Engelmann,2,no_dates_to_compare,500021903,"Engelmann, Godefroy",,1788
Gérard Audran,2,ambiguous,500020005;500297903,,1640,
Hans Jacoby,4,date_conflict,500381412,"Jacoby, Hans",1891/1891,1956
Heinrich Otto,1,ambiguous,500160706;500358524;500570452,,1858,
Heinrich Vogeler,3,ambiguous,500012264;500456194,,1872,
Henri-Auguste Dochy,1,no_dates_to_compare,500566057,"Dochy, Henri",,1810
Hippolyte Girard,2,no_dates_to_compare,500040853,"Girard, Hippolyte",,1843
Hugo Bürkner,16,no_dates_to_compare,500045177,"Bürkner, Hugo",,1818
Jacques Aliamet,1,no_dates_to_compare,500049289,"Aliamet, Jacques",,1726
Jacques Lavallée,1,no_dates_to_compare,500050068,"Lavallée, Jacques",,1750
Jean Baptiste Tilliard,1,ambiguous,500000928;500010817,,,
Jean-Baptiste Fosseyeux,1,no_dates_to_compare,500524113,"Fosseyeux, Jean-Baptiste",,1752
Jean-Baptiste Poncet,1,no_dates_to_compare,500180574,"Poncet, Jean-Baptiste",,1827
Jean-Nicolas Laugier,1,no_dates_to_compare,500606456,"Laugier, Jean Nicolas",,1785
Jean-Pierre Norblin De La Gourdaine,1,no_dates_to_compare,500031481,"Norblin, Jean Pierre",,1745
Johan Georg Wille,1,no_dates_to_compare,500019339,"Wille, Johann Georg",,1715
Johannes Pieter De Frey I,3,no_dates_to_compare,500096434,"Frey, Johannes Pieter de",,1770
Joseph Pennell,9,ambiguous,500020707;500078853,,1857,
Joséphine Ducollet,5,date_conflict,500717138,"Ducollet, Joséphine",1827/1827,1806
Jules Boilly,1,no_dates_to_compare,500010736,"Boilly, Julien Léopold",,1796
Julio González,2,ambiguous,500024353;500376616,,1876,
Karl Hofer,2,ambiguous,500015138;500346870;500377291;500507622,,1878,
Louis Dauphin,1,date_conflict,500248070,"Dauphin, Louis",1885/1885,1577
Louis Petit,6,ambiguous,500021349;500096856;500162406,,1809,
Louis-Paul-Pierre Dumont,5,no_dates_to_compare,500541473,"Dumont, Louis-Paul-Pierre",,1822
Luigi Calamatta,1,no_dates_to_compare,500012321,"Calamatta, Luigi",,1802
Marie Gabrielle Niel,1,date_conflict,500072773,"Niel, Gabrielle-Marie",1831/1831,1840
Morin-Jean,78,ambiguous,500012334;500043040,,1877,
Otto Fischer,1,ambiguous,500119437;500505291;500697113,,1870,
Otto Weber,2,ambiguous,500018870;500424757,,1832,
Paul Girardet,1,no_dates_to_compare,500121885,"Girardet, Paul",,1821
Pierre Paul Prud'Hon,3,no_dates_to_compare,500003716,"Prud'hon, Pierre-Paul",,1758
Pierre Petit,1,ambiguous,500017451;500028356;500394475,,1832,
Richard Müller,1,ambiguous,500022260;500451106,,1874,
Richard Ranft,1,ambiguous,500092394;500465118,,1862,
Robert Delaunay,13,ambiguous,500023463;500044083;500401808,,1885,
Rudolf Grossmann,3,ambiguous,500018748;500636192,,1882,
Suzanne Humbert,1,date_conflict,500058489,"Brooks, Marjorie",1913/1913,1904
Yoshitora Utagawa,1,no_dates_to_compare,500342437,"Utagawa, Yoshitora",,1820
