lot_id,brand,artist,title,status,exclusion_reason
buk_2460450,bukowskis,,"Bengt Lindström, Utan titel.",NEW,non_english_brand_deferred
buk_2460448,bukowskis,,"Bengt Lindström, Utan titel.",NEW,non_english_brand_deferred
buk_2430882,bukowskis,,"Luis Feito, Utan titel.",NEW,non_english_brand_deferred
buk_2450307,bukowskis,,"Toyohara Chikanobu, triptyk, träsnitt, Japan.",NEW,non_english_brand_deferred
buk_2450099,bukowskis,,"Toyohara Kunichika, Triptyk, träsnitt, Japan.",NEW,non_english_brand_deferred
buk_2450092,bukowskis,,"Adachi Ginkō, träsnitt, kolorerad.",NEW,non_english_brand_deferred
buk_2450123,bukowskis,,"Toyohara Kunichika, Triptyk, träsnitt, Japan.",NEW,non_english_brand_deferred
buk_2450317,bukowskis,,"Toyohara Kunichika, triptyk, träsnitt, Japan.",NEW,non_english_brand_deferred
buk_2450159,bukowskis,,"Toyohara Kunichika, triptyk, träsnitt, Japan.",NEW,non_english_brand_deferred
buk_2450113,bukowskis,,"Träsnitt, två diptyker, Japan.",NEW,non_english_brand_deferred
buk_2450157,bukowskis,,"Toyohara Kunichika, triptyk, träsnitt, Japan.",NEW,non_english_brand_deferred
buk_2450348,bukowskis,,"Toyohara Kunichika, träsnitt, 2 st, Japan.",NEW,non_english_brand_deferred
buk_2465534,bukowskis,,"Rafael Wardi, ""Fiesole I"".",NEW,non_english_brand_deferred
buk_2442212,bukowskis,,"Ian Rusth, Bibliotek.",NEW,non_english_brand_deferred
buk_2462368,bukowskis,,"Kiyoshi Saito, Två katter.",NEW,non_english_brand_deferred
buk_2442228,bukowskis,,"Ian Rusth, Pianot.",NEW,non_english_brand_deferred
buk_2450147,bukowskis,,"Träsnitt, tre stycken, Japan.",NEW,non_english_brand_deferred
buk_2430815,bukowskis,,"James Gillray, ""The funeral procession of Broad-Bottom"" 1807.",NEW,non_english_brand_deferred
32317-1,skinner,Various Artists,Various Artists; A group of 11 Posters;,NEW,placeholder_artist_name
buk_2441755,bukowskis,,"Antoni Tàpies, ""La main"".",NEW,non_english_brand_deferred
buk_2465513,bukowskis,,"Lars-Gunnar Nordström, Komposition.",NEW,non_english_brand_deferred
buk_2463516,bukowskis,,"Pierre Olofsson, Utan titel.",NEW,non_english_brand_deferred
buk_2465521,bukowskis,,"Tuula Lehtinen, ""Saari""(Ö) och ""Joutsenlampi"" (Svanstjärn).",NEW,non_english_brand_deferred
buk_2465264,bukowskis,,"Yrjö Edelmann, ""Klänning på tork"".",NEW,non_english_brand_deferred
31793-127,cornette,SIMON HANTAI,"SIMON HANTAI (1922-2008), ELLSWORTH KELLY (1923-2015) ET GEORGES BRAQUE (1882-1963) Ensemble de trois affiches Maeght l'Art vivant aux Etats Unis - 1970 - Fondation Maeght Hantai Peintures - 1969 - Fondation MaeghtEllsworth Kelly - Galerie MaeghtOn y joint une affiche de Georges Braque illustrée d'oiseaux pour Un hommage au Peintre par la ville d'Argenteuil en mai 1964 Respectivement : 72,5 x 50 cm; 70,3 x 48 cm; 66 x 50,8 cm et 64,4 x 45 cmA set of three posters, Living Art in the United States – 1970 – Maeght Foundation, Hantaï Paintings – 1969 – Maeght Foundation, Ellsworth Kelly – Maeght Gallery, included is also a poster by Georges Braque, created for A Tribute to the Painter, organized by the City of Argenteuil in May 1964",SOLD,non_english_brand_deferred
31793-144,cornette,JEAN COCTEAU,"JEAN COCTEAU (1889-1963) Carré Théatre de Cap d'Ail, 1990 Carré en soie Signé dans le motif et numéroté 0159/100097 x 95 cmSilk scarf, signed in the design and numbered 0159/1000",SOLD,non_english_brand_deferred
31793-145,cornette,D'APRÈS PABLO PICASSO,"D'APRÈS PABLO PICASSO (1881-1973) Festival Mondial de la Jeunesse et des Etudiants pour la Paix - 1951 Foulard sérigraphié en coton, figurant quatre visages et la colombe de la paixModèle crée pour le Festival Mondial de la Jeunesse et des Etudiants pour la Paix à Berlin, 5 - 19 août 1951Signé dans le motif 66 x 68 cmScreenprinted cotton scarf depicting four faces and the Dove of Peace, created for the World Festival of Youth and Students for Peace, Berlin, 5–19 August 1951, signed in the design",SOLD,non_english_brand_deferred
