artist,alias,canonical,sharedWorks,runnerUp,aliasAsPrinted,canonicalAsPrinted,addedOn
Albrecht Dürer,b,bartsch,9,0,B.,Bartsch,2026-09-13
Andy Warhol,feldmanschellman,feldmanschellmann,6,0,Feldman & Schellman,Feldman & Schellmann,2026-09-13
Andy Warhol,fs,feldmanschellmann,73,8,F./S.,Feldman & Schellmann,2026-09-13
Antoni Tàpies,galfetti,galfettihoms,3,0,Galfetti,Galfetti/Homs,2026-09-13
Bernard Buffet,s,sorlier,3,0,S.,Sorlier,2026-09-13
Bridget Riley,s,schubert,7,0,S.,Schubert,2026-09-13
Camille Pissarro,d,delteil,6,0,D.,Delteil,2026-09-13
Claes Oldenburg,ap,axsomplatzker,15,0,A./P.,Axsom & Platzker,2026-09-13
Cyril Edward Power,coppel,coppelcep,4,0,Coppel,Coppel  CEP,2026-09-13
David Hockney,b,baggott,3,0,B.,Baggott,2026-09-13
David Hockney,baggot,baggott,3,0,Baggot,Baggott,2026-09-13
David Hockney,mcat,mcatokyo,17,0,M.C.A.T.,M.C.A. Tokyo,2026-09-13
David Hockney,sac,scottishartscouncil,22,2,S.A.C.,Scottish Arts Council,2026-09-13
David Hockney,scottishartscouncilexhibcat,scottishartscouncilexhibcatno,3,0,Scottish Arts Council Exhib. cat.,"Scottish Arts Council, exhib cat no",2026-09-13
Ed Ruscha,e,engberg1999,23,3,E.,Engberg 1999,2026-09-13
Ed Ruscha,engberg,engberg1999,3,0,Engberg,Engberg 1999,2026-09-13
Eduardo Chillida,k,koelen,3,0,K.,Koelen,2026-09-13
Ellsworth Kelly,a,axsom,4,0,A.,Axsom,2026-09-13
Ellsworth Kelly,g,gemini,5,0,G.,Gemini,2026-09-13
Fernand Léger,s,saphire,5,1,S.,Saphire,2026-09-13
Francis Bacon,s,sabatier,7,0,S.,Sabatier,2026-09-13
Francisco Zúñiga,b,brewster,5,0,B.,Brewster,2026-09-13
Frank Stella,a,axsom,19,0,A.,Axsom,2026-09-13
Frank Stella,g,gemini,5,0,G.,Gemini,2026-09-13
Friedensreich Hundertwasser,k,koschatzky,11,0,K.,Koschatzky,2026-09-13
Gene Kloss,k,kloss,5,0,K.,Kloss,2026-09-13
Georges Braque,v,vallier,8,0,V.,Vallier,2026-09-13
