impressionId,editionRunId,stored,newSize,house,sold,text
bonhams-10248-347,bonhams-10248-347-er,,25,Bonhams,True,"Etching, second state of two, on laid, with margins, signed in pencil, inscribed Plate No. 61 Annie, imp no. 14/25 in brown ink; in good condition, 125mm x 100mm (4 7/8in x 4in)(PL) (unframed)"
bonhams-11050-78,bonhams-11050-78-er,,48,Bonhams,True,"Screenprint in colours, 1987, from the RCA portfolio, ""Artist's Choice"", on wove, signed and numbered in pencil 47/48; in excellent condition, 310 x 310mm (12 1/4 x 12 1/4in)(SH)"
bonhams-11174-63,bonhams-11174-63-er,,50,Bonhams,True,"Etching, 1971, with stamped signature, numbered in pencil 47/50; on wove paper, with full margins. 37 x 50 cm. (14 1/2 x 19 3/4 in.)(PL)"
bonhams-13075-7101,bonhams-13075-7101-er,,250,Bonhams,True,"Color lithograph, signed and numbered in pencil 62/250, framed sight: 27 x 39 1/2 inches"
bonhams-13953-110,bonhams-13953-110-er,,75,Bonhams,False,"Etching with aquatint, in colours, 1979, on wove, signed and numbered in pencil 44/75; in excellent condition, 660 x 500mm 26 x 19 3/4in) (unframed)"
bonhams-14032-137,bonhams-14032-137-er,,50,Bonhams,True,"Etching printed on laid paper with Strasbourg Lily watermark, signed in pencil, the second (final) state, inscribed 'Plate No., 138, Self Portrait, 1919, Imp. no. 49/50' in ink in lower margin, with margins, in excellent condition, framed. Ex. Coll.: A.H. Wiggin (Lugt 2820a) 5 7/8 x 3 7/8in sheet 11"
bonhams-14032-252,bonhams-14032-252-er,,225,Bonhams,False,"Lithograph printed in colors on Arches paper, with printed signature, numbered in pencil 181/225, with margins, in good condition aside from soft handling creases, 3 small pressure marks in upper left margin, masking tape on left, upper and right margins, verso. 22 3/4 x 18 1/4in sheet 28 3/8 x 20 3"
bonhams-14032-322,bonhams-14032-322-er,,68,Bonhams,True,"Lithograph printed on wove paper, with the screenprinted estate stamp, numbered in pencil 68/68 (there were also 8 artist's proofs), with the blindstamp of the publisher, Gemini G.E.L., Los Angeles, with full margins, in very good condition aside from a small pressure mark at center of upper margin,"
bonhams-14032-419,bonhams-14032-419-er,,75,Bonhams,True,"Silkscreen printed on plexiglas (on reverse of sheet), incised signature and date, verso, numbered in pencil 13/75, verso, published by Robert Fraser, London, printed by Kelpra Studio, London, the full sheet, in good condition aside from on verso 2 1/2 x 1/8 inch strip of uneven ink loss at extreme "
bonhams-14032-464,bonhams-14032-464-er,,200,Bonhams,True,"Silkscreen printed in colors on wove paper, signed with the artist's inkstamp, verso, numbered in pencil 188/200, verso (there were also 50 artist's proofs), published by Original Editions, New York, printed by KMF, Inc., New York, the full sheet, printed to all 4 edges, in apparently good condition"
bonhams-14032-467,bonhams-14032-467-er,,1000,Bonhams,True,"Silkscreen printed in colors on Arches 88 paper, with the estate and foundation stamps, verso, numbered in pencil 436/1000 (there were also 30 artist's proofs), published by Grosset and Dunlap, Inc., New York, printed by Rupert Jason Smith, New York, the full sheet, in apparently very good condition"
bonhams-14453-321,bonhams-14453-321-er,,75,Bonhams,True,"Lithograph, in black and yellow, on wove, signed and numbered in pencil 33/75; unexamined out of the frame, 420 x 585mm (16 1/2 x 23in)(SH)"
bonhams-14453-585,bonhams-14453-585-er,,250,Bonhams,True,"Screenprint with embossing, 1990, on Arches, the full sheet, numbered in pencil 243/250, stamped by the artist's estate and signed by the executor, Julia Gruen verso, printed by Studio Heinrici, published by Shafrazi Editions Inc; 535 x 635mm (21 x 25in)(SH) (unframed)"
bonhams-14795-7106,bonhams-14795-7106-er,,200,Bonhams,True,"Color lithograph, signed and numbered in pencil 34/200, with the blindstamp of the publisher, Editions Press, San Francisco, unframed sheet 27 x 36 3/4in"
bonhams-14799-127,bonhams-14799-127-er,,100,Bonhams,False,"Etching printed on wove paper, a posthumous print, printed in 1969, numbered in pencil 81/100, with the blindstamp of the publisher, Whitney Museum of Art, New York, with wide margins (deckle on one edge), in excellent condition, framed. 9 7/8 x 7 3/4in sheet 15 1/2 x 12 7/8in"
bonhams-14799-168,bonhams-14799-168-er,,50,Bonhams,True,"Aquatint, etching and drypoint printed on wove paper, with stamped signature, numbered in pencil 44/50, with full margins, in excellent condition aside from palest light staining, light surface soiling lower right corner, framed. 8 7/8 x 12 5/8in sheet 14 7/8 x 18 5/8in"
bonhams-14799-185,bonhams-14799-185-er,,30,Bonhams,True,"Etching and aquatint printed on laid paper, from a posthumous edition, with the artist's monogram stamp (Lugt 613e), numbered in pencil 10/30, second (final) state, with margins (deckle on 2 sides), in very good condition aside from mat staining, tiny specks of foxing concentrated in the margins, li"
bonhams-15388-5103,bonhams-15388-5103-er,,100,Bonhams,True,"Etching printed on wove paper, a posthumous print, printed in 1969, numbered in pencil 81/100, with the blindstamp of the publisher, Whitney Museum of Art, New York, with wide margins (deckle on one edge), in excellent condition, framed. 9 7/8 x 7 3/4in sheet 15 1/2 x 12 7/8in"
bonhams-15401-7226,bonhams-15401-7226-er,,300,Bonhams,True,"Etching and aquatint printed on wove paper, unsigned, numbered in pencil 54/300, with margins, framed 14 3/4 x 12 1/4in sheet 19 7/8 x 17 3/8in"
bonhams-15403-132,bonhams-15403-132-er,,150,Bonhams,True,"Etching printed in colors on japon nacré, with stamped signature and Atelier Magritte blindstamp, numbered in pencil 62/150 (total edition was 525), printed by Georges Visat, Paris, with full margins, in good condition aside from surface soiling in margins, glue staining at left, upper, and right sh"
bonhams-15403-84,bonhams-15403-84-er,,44,Bonhams,True,"Lithograph printed on wove paper watermarked 'Holland', signed in pencil and annotated 'No. 43/44 II', with margins, in poor condition with skinning around sheet edges on verso, 1 1/4 x 1/4in replacement at upper left sheet corner, 1/2 x 1/4in paper loss at upper right sheet corner, traces of pale s"
bonhams-15403-85,bonhams-15403-85-er,,51,Bonhams,True,"Lithograph printed on cream wove paper watermarked 'Holland', signed in pencil and annotated 'No. 51/51 II', with wide margins (deckle at upper and lower sheet edges), in very good condition aside from expertly repaired worm holes at upper left and right margin corners, 1in soft pressure mark in low"
bonhams-15671-209,bonhams-15671-209-er,,50,Bonhams,True,"Offset colour lithograph, 2002, on wove paper, with a facsimile signature, numbered in pencil 43/50, stamped verso with the estate stamp of the artist, dated 2002; in excellent condition, 735 x 545mm (28 7/8 x 21 1/2in)(I)(unframed)"
