erId,size,artist,title,medium,signed,sold,hammerGBP,saleDate,url,lotId,action,reason,editionNote
forum-104842-er,2,David Klein,,Offset lithograph printed in colours,False,True,600.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/145-david-klein-1918-2005san-francisco-fly-twa-104842,104842,clear,no 'edition of N' in the note,
forum-104852-er,8,Grayson Perry,,Wool and cotton tapestry fragment fashioned into a cushion,False,True,4000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/274-grayson-perry-b1960detail-from-the-walthamstow-tapestrynbsp-104852,104852,clear,no 'edition of N' in the note,
forum-104853-er,4,Andy Warhol & Keith Haring,,Screenprint in colours,False,False,,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/183-andy-warhol-1928-1987-amp-keith-haring-1958-199020th-104853,104853,clear,no 'edition of N' in the note,
forum-104855-er,2,Stik,,Offset lithograph printed in colours,True,True,750.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/321-stik-b1979-hip-orange-104855,104855,clear,no 'edition of N' in the note,
forum-104856-er,8,Stik,Hip (Blue),Offset lithograph printed in colours,True,True,1000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/322-stik-b1979-hip-blue-104856,104856,clear,no 'edition of N' in the note,
forum-104861-er,2,Stik,Standing Figure (Grey),Offset lithograph printed in colours,True,True,900.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/325-stik-b1979standing-figure-grey-104861,104861,clear,no 'edition of N' in the note,
forum-104863-er,2,Edward Bawden,,Linocut printed in colours,True,True,480.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/28-edward-bawden-1903-1989-lloyds-coat-of-armsnbsp-104863,104863,clear,no 'edition of N' in the note,
forum-104864-er,2,Edward Bawden,,Pen and ink,True,True,480.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/29-edward-bawden-1903-1989-daniel-and-the-lions-bel-and-the-104864,104864,clear,no 'edition of N' in the note,
forum-104865-er,8,Rembrandt van Rijn,The Raising of Lazarus: The Small Plate,Etching with touches of drypoint,False,True,7000.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/7-rembrandt-van-rijn-1606-1669-the-raising-of-lazarus-the-104865,104865,clear,no 'edition of N' in the note,
forum-104882-er,4,Rembrandt van Rijn,A Scholar in his Study ('Faust'),Etching and drypoint,False,True,2400.0,2023-02-24,https://www.forumauctions.co.uk/bidding/1119-art-and-editions-1500-2022-560/5-rembrandt-van-rijn-1606-1669a-scholar-in-his-study-39faust39-104882,104882,clear,no 'edition of N' in the note,
