basis,junkNode,workId,title,target,evidence
source,AMENDMENT: Please note printer of this work should read P. Argillet. Salvador Dalí,roseberys-a0550-lot90,"Couloir de Kathmandu [Field 69-13 G], 1969/70",Salvador Dalí,SourceRecord attribution
source,AMENDMENT: Please note this lithograph is by Eugène Brands,roseberys-a0467-lot176,Untitled,Eugène Brands,SourceRecord attribution
source,AMENDMENT: Please note this lot is unframed: Tadek Beutlich,roseberys-a0207-lot228,"Note: Tadek Beutlich was an innovative textiles artist and skilled printmaker. In the early 1960s, he made flat-weave tapestries inspired by folk art and continental modernism. He then began to experiment, creating weavings which included charred wood, seed pods and X-ray film. His book 'The Technique of Woven Tapestry' is still considered indispensable by weavers worldwide.",Tadek Beutlich,SourceRecord attribution
source,AMENDMENT: Please note this lot is unglazed but with frame: Tracey Emin,roseberys-a0207-lot56,Untitled (A0207 lot 56),Tracey Emin,SourceRecord attribution
source,AMENDMENT: This lithograph is by Jake Sutton,roseberys-a0207-lot206,Untitled (A0207 lot 206),Jake Sutton,SourceRecord attribution
source,AMENDMENT: This poster is on 250 gsm silk finish paper. Tracey Emin,roseberys-a0642-lot409,My Favourite Little Bird,Tracey Emin,SourceRecord attribution
source,AMENDMENT: This print is a pochoir not a lithograph as originally stated: Georges Braque,roseberys-a0207-lot240,Untitled (A0207 lot 240),Georges Braque,SourceRecord attribution
source,AMENDMENT: edition was 400 not 500 as originally stated. Pablo Picasso,roseberys-cw-AMENDMENT:_edition_was_400_not_500_as_originally_stated._Pablo_Picasso-A.R.-140-pichet_yan_a_r_140,Pichet Yan(A.R. 140),Pablo Picasso,SourceRecord attribution
source,AMENDMENT: please note image size is 37.3 x 84cm. Ivon Hitchens,roseberys-a0785-lot6,For John Constable,Ivon Hitchens,SourceRecord attribution
source,AMENDMENT: please note this lot is by Peter Stroud,roseberys-a0290-lot131,Untitled,Peter Anthony Stroud,SourceRecord attribution
source,Amendment: Please note this lot is not framed. Alan Davie,roseberys-a0494-lot146,IV (Zurich Improvisations),Alan Davie,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot352,BFF (black),KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot365,Bendy (Red),KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot355,Boba Fett,KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot374,Burned,KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0710-lot403,Clean Slate (brown),KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot358,Companion (Pushead Version) (green),KAWS,SourceRecord attribution
source,Property of a KAWS collector,roseberys-a0550-lot357,Companion (Pushead Version) (silver),KAWS,SourceRecord attribution
