action,node,targets,workId,work,sids,urls,note
rename,AMENDMENT: NOT PRINTED IN COLOURSCharles Maurice Detmold,Charles Maurice Detmold||new,roseberys-a0261-lot19,Untitled (A0261 lot 19),roseberys-a0261-lot19-record,https://www.roseberys.co.uk/bidding/A0261-modern-contemporary-prints-176/19-amendment-not-printed-in-colourscharles-maurice-detmold-423970,
rename,AMENDMENT: Please note that VAT will be charged on hammer price for this lot.,Maria Drea||new,roseberys-a0766-lot244,Inside Out - Inside,roseberys-a0766-lot244-record,https://www.roseberys.co.uk/bidding/A0766-prints-multiples-646/244-amendment-please-note-that-vat-will-be-charged-on-the-609468,
rename,Amendment: Please note that title of this work is 'Folded Man'. print is signed in pen by artist,Peter Schuyff||new,roseberys-a0642-lot269,Abstract Composition,roseberys-a0642-lot269-record,https://www.roseberys.co.uk/bidding/A0642-prints-multiples-519/269-amendment-please-note-that-the-title-of-this-work-is-folded-562124,
rename,"Andrew Power [Sybil Andrews, 1898–1992 and Cyril Power, 1872–1951]",Andrew Power||new,met-832478,"Lord's, Oval",met-832478-record,,
rename,"Antonio Tempesta Due tavole dalla serie: Scene di cacce. Coppia di acqueforti applicate su supporto, dimensioni medie: 194 x 285 mm, [circa 1609, possibile tiratura tarda],.",Antonio Tempesta||new,forum-36638,§,forum-36638-record,https://www.forumauctions.co.uk/bidding/4510-online-sale-prints-drawings-16th-to-93/40-antonio-tempesta-1555-1630-due-tavole-dalla-serie-scene-di-36638,
rename,"Antonio da Trenta,",Antonio da Trenta||new,forum-163854,"St Cecilia playing her harpsichord held by an angel, after Parmigianino (1503-1540)",forum-163854-record,https://www.forumauctions.co.uk/bidding/1198-prints-works-on-paper-1500-2026-1091/292-antonio-da-trenta-fl-1527-1540s-attributed-to-st-cecilia-163854,
rename,Arnaud Desjardin. The Everyday Press,Arnaud Desjardin||new,navigart38-2018.066.1,Mouldy Modern,navigart38-2018.066.1-record,https://www.navigart.fr/frac-normandie/artwork/arnaud-desjardin-the-everyday-press-max-ernst-mouldy-modern-380000000038266,
rename,"Crispijn van den Broeck,",Crispijn van den Broeck||new,forum-145682,The Last Judgement,forum-145682-record,https://www.forumauctions.co.uk/bidding/1165-prints-multiples-1500-2025-985/274-crispijn-van-den-broeck-c1524-1591-circle-of-the-last-145682,
rename,"Edmé Bouchardon,",Edmé Bouchardon||new,navigart11-D.2020.0.14.7.47.E,Untitled (D.2020.0.14.7.47.E),navigart11-D.2020.0.14.7.47.E-record,https://www.navigart.fr/museedartsdenantes/artwork/edme-bouchardon-vignette-allegorique-a-la-memoire-du-dauphin-110000000196883,
rename,"Edmé Bouchardon,",Edmé Bouchardon||new,navigart11-D.2020.0.14.7.18.E,Untitled (D.2020.0.14.7.18.E),navigart11-D.2020.0.14.7.18.E-record,https://www.navigart.fr/museedartsdenantes/artwork/edme-bouchardon-jeune-femme-aux-lauriers-110000000196790,
rename,"Edmé Bouchardon,",Edmé Bouchardon||new,navigart11-D.2020.0.14.6.66.E,Untitled (D.2020.0.14.6.66.E),navigart11-D.2020.0.14.6.66.E-record,https://www.navigart.fr/museedartsdenantes/artwork/edme-bouchardon-le-gout-110000000197411,
rename,"Edmé Bouchardon,",Edmé Bouchardon||new,navigart11-D.2020.0.14.6.64.E,Untitled (D.2020.0.14.6.64.E),navigart11-D.2020.0.14.6.64.E-record,https://www.navigart.fr/museedartsdenantes/artwork/edme-bouchardon-la-vue-110000000197406,
rename,"Edmé Bouchardon,",Edmé Bouchardon||new,navigart11-D.2020.0.14.6.69.E,Untitled (D.2020.0.14.6.69.E),navigart11-D.2020.0.14.6.69.E-record,https://www.navigart.fr/museedartsdenantes/artwork/edme-bouchardon-enfant-nu-atlante-110000000197417,
rename,"Edmé Bouchardon,",Edmé Bouchardon||new,navigart11-D.2020.0.14.6.67.E,Untitled (D.2020.0.14.6.67.E),navigart11-D.2020.0.14.6.67.E-record,https://www.navigart.fr/museedartsdenantes/artwork/edme-bouchardon-110000000197415,
rename,"Edmé Bouchardon,",Edmé Bouchardon||new,navigart11-D.2020.0.14.6.68.E,Untitled (D.2020.0.14.6.68.E),navigart11-D.2020.0.14.6.68.E-record,https://www.navigart.fr/museedartsdenantes/artwork/edme-bouchardon-110000000197402,
rename,"Edmé Bouchardon,",Edmé Bouchardon||new,navigart11-D.2020.0.14.6.65.E,Untitled (D.2020.0.14.6.65.E),navigart11-D.2020.0.14.6.65.E-record,https://www.navigart.fr/museedartsdenantes/artwork/edme-bouchardon-110000000197409,
rename,"Edmé Bouchardon,",Edmé Bouchardon||new,forum-96474,Drapery Study: Standing hooded monk pointing,forum-96474-record,https://www.forumauctions.co.uk/bidding/1105-prints-and-editions-1500-2022-506/56-edm233-bouchardon-1698-1762-follower-ofdrapery-study-96474,
rename,"Filippo Morghen, da Giuseppe Zocchi.",Filippo Morghen||new,forum-36717,"La Tana Villa de SSri Baroni Ricasoli, from: Vedute delle ville e d'altri luoghi della Toscana",forum-36717-record,https://www.forumauctions.co.uk/bidding/4510-online-sale-prints-drawings-16th-to-93/62-filippo-morghen-1730-1807-da-giuseppe-zocchi-1717-1767-la-36717,
rename,"Francesco Barbazza Disegno della Prima Macchina rappresentante un Tempio cretto da Numa Pompilio a Giano presso I Gentili Dio della Pace, acquaforte e bulino su carta vergellata, dimensioni della lastra: 515 x 375 mm. [1782 circa]. In cornice.",Francesco Barbazza||new,forum-36648,§,forum-36648-record,https://www.forumauctions.co.uk/bidding/4510-online-sale-prints-drawings-16th-to-93/65-francesco-barbazza-attivo-fra-1771-1789-disegno-della-prima-36648,
rename,"Gaspare Diziani,",Gaspare Diziani||new,forum-163889,The Crucifixion of Saint Andrew,forum-163889-record,https://www.forumauctions.co.uk/bidding/1198-prints-works-on-paper-1500-2026-1091/287-gaspare-diziani-1707-1769-circle-of-the-crucifixion-of-163889,
rename,Ginny Manning / Christine Keeler (British 1942-2017),Ginny Manning||new,roseberys-a0680-lot213,Pop Art Print,roseberys-a0650-lot183-record roseberys-a0680-lot213-record,https://www.roseberys.co.uk/bidding/A0650-prints-multiples-527/183-ginny-manning-christine-keeler-british-1942-2017-pop-art-567997 https://www.roseberys.co.uk/bidding/A0680-prints-multiples-live-online-only-557/213-ginny-manning-christine-keeler-british-1942-2017-pop-art-563733,
rename,"Hubert Robert,",Hubert Robert||new,forum-168388,Stair and Fountain in the Park of a Roman Villa,forum-163788-record forum-168388-record,https://www.forumauctions.co.uk/bidding/1198-prints-works-on-paper-1500-2026-1091/291-hubert-robert-1733-1808-attributed-to-stair-and-fountain-in-163788 https://www.forumauctions.co.uk/bidding/10012-the-10th-anniversary-fine-prints-works-1100/200-hubert-robert-1733-1808-attributed-to-stair-and-fountain-in-168388,
rename,International Local (Sarah Charlesworth; Joseph Kosuth; Anthony McCall),International Local||new,tate-P02338,Where Are You Standing?,tate-P02338-record,http://www.tate.org.uk/art/artworks/international-local-sarah-charlesworth-joseph-kosuth-anthony-mccall-where-are-you-standing-p02338,
rename,"Jaune Quick-to-See Smith, Enrolled Salish member of the Confederated Salish and Kootenai Tribes of the Flathead Reservation",Jaune Quick-to-See Smith||new,met-371594,In the Future,met-371594-record,,
rename,"Juan Fernández Navarrete, called 'El Mudo',",Juan Fernández Navarrete||new,forum-163885,Saint Gregory and Saint Jerome with lion,forum-163885-record,https://www.forumauctions.co.uk/bidding/1198-prints-works-on-paper-1500-2026-1091/286-juan-fernaacutendez-navarrete-called-el-mudo-1526-1579-163885,
rename,RTO Adam B Marshall,Adam B Marshall||new,roseberys-a0345-lot25,Untitled (A0345 lot 25),roseberys-a0345-lot25-record,https://www.roseberys.co.uk/bidding/A0345-online-modern-contemporary-prints-244/25-rto-adam-b-marshall-british-late-20thearly-21st-century-452278,
rename,RTO Bernard Munch,Bernard Munch||new,roseberys-a0378-lot228,Vers un nouveau rivage,roseberys-a0378-lot228-record,https://www.roseberys.co.uk/bidding/A0378-online-modern-contemporary-prints-276/228-rto-bernard-munch-french-b1921-vers-un-nouveau-465465,
rename,RTO Daniel Mackenzie,Daniel Mackenzie||new,roseberys-a0345-lot24,Untitled (A0345 lot 24),roseberys-a0345-lot24-record,https://www.roseberys.co.uk/bidding/A0345-online-modern-contemporary-prints-244/24-rto-daniel-mackenzie-british-fl1775-1800-utricularia-452277,
rename,RTO Dolf Reiser,Dolf Reiser||new,roseberys-a0359-lot62,Untitled (A0359 lot 62),roseberys-a0359-lot62-record,https://www.roseberys.co.uk/bidding/A0359-online-modern-contemporary-prints-258/62-rto-dolf-reiser-south-african-1898-1983-untitled-landscape-458737,
rename,RTO Sophie Macpherson,Sophie Macpherson||new,roseberys-a0378-lot67,Landscape with boats,roseberys-a0378-lot67-record,https://www.roseberys.co.uk/bidding/A0378-online-modern-contemporary-prints-276/67-rto-sophie-macpherson-british-1957-2014-landscape-with-465502,
rename,Reinier Nooms (called Zeeman) (1623-1664),Reinier Nooms||new,swann-2fd8f99cb3,Verscheide Gesichten binnen Amsterdam,swann-2fd8f99cb3-record,https://www.swanngalleries.com/auction-lot/reinier-nooms-called-zeeman-1623-1664-verscheide-_2FD8F99CB3,
rename,Sebastian Münster.,Sebastian Münster||new,forum-36662,Mostri marini dalla 'Cosmographia',forum-36662-record,https://www.forumauctions.co.uk/bidding/4510-online-sale-prints-drawings-16th-to-93/70-sebastian-m252nster-1488-1552-mostri-marini-dalla-36662,
rename,"born 1945; Mel Ramsden, born 1944) Art & Language (Michael Baldwin",Art & Language||new,navigart15-AM_1990-65,"Map to not indicate : Canada, James Bay, Ontario.... (Carte pour ne pas indiquer : Canada, James Bay, Ontario...)",navigart15-AM_1990-65-record,https://collection.centrepompidou.fr/artwork/art-language-map-to-not-indicate-canada-james-bay-ontario-carte-pour-ne-pas-indiquer-canada-james-bay-ontario-150000000020737,
rename,"born 1945; Mel Ramsden, born 1944) Art & Language (Michael Baldwin",Art & Language||new,navigart15-AM_1990-67,Map of a thirty-six square mile surface area of the Pacific Ocean west of Oahu,navigart15-AM_1990-67-record,https://collection.centrepompidou.fr/artwork/art-language-map-of-a-thirty-six-square-mile-surface-area-of-the-pacific-ocean-west-of-oahu-150000000004810,
rename,"born 1945; Mel Ramsden, born 1944) Art & Language (Michael Baldwin",Art & Language||new,navigart15-AM_1990-66,"Map of an area of dimensions 12""x 12"" indicating 2, 304 1/4"" squares",navigart15-AM_1990-66-record,https://collection.centrepompidou.fr/artwork/art-language-map-of-an-area-of-dimensions-12-x-12-indicating-2-304-1-4-squares-150000000012784,
rename,"born 1945; Mel Ramsden, born 1944) Art & Language (Michael Baldwin",Art & Language||new,tate-P08005,Ten Postcards,tate-P08005-record,http://www.tate.org.uk/art/artworks/art-language-michael-baldwin-ten-postcards-p08005,
repoint,"""Mythos/Re-Objects""-",Various Artists||existing,roseberys-a0379-lot32,"book, two volumes in slipcase, signed by Jeff Koons, Damien Hirst, Gerhard Merz, Douglas Gordon and Matthew Barney in pencil on the covers, 29/170 edition number, German edition, publ. by Kunsthaus Bregenz 2007, 30.5x23cm, (box set) (ARR)",roseberys-a0324-lot297-record roseberys-a0379-lot32-record,https://www.roseberys.co.uk/bidding/A0324-modern-contemporary-prints-multiples-229/297-mythosre-objects-book-two-volumes-in-slipcase-signed-by-445774 https://www.roseberys.co.uk/bidding/A0379-artsy-prints-multiples-277/32-mythosre-objects-book-two-volumes-in-slipcase-signed-by-465560,
repoint,-,Salvador Dalí||existing,roseberys-a0550-lot86,Dali's Renaissance (One of Coins),roseberys-a0550-lot86-record,https://www.roseberys.co.uk/bidding/A0550-prints-multiples-429/86-dali39s-renaissance-one-of-coins-1978lithograph-in-colours-524460,
repoint,A collection of approximately one-hundred Curwen Press End Papers,Various Artists||existing,roseberys-a0207-lot221,Untitled (A0207 lot 221),roseberys-a0207-lot221-record,https://www.roseberys.co.uk/bidding/A0207-modern-contemporary-prints-128/221-a-collection-of-approximately-one-hundred-curwen-press-end-400867,
repoint,A collection of approximately thirty Curwen Press End Papers,Various Artists||existing,roseberys-a0228-lot137,Untitled (A0228 lot 137),roseberys-a0228-lot137-record,https://www.roseberys.co.uk/bidding/A0228-modern-contemporary-prints-145/137-a-collection-of-approximately-thirty-curwen-press-end-411451,
repoint,A collection of approximately thirty-five Curwen Press End Papers,Various Artists||existing,roseberys-a0250-lot282,Untitled (A0250 lot 282),roseberys-a0250-lot282-record,https://www.roseberys.co.uk/bidding/A0250-modern-contemporary-prints-165/282-a-collection-of-approximately-thirty-five-curwen-press-end-421615,
repoint,A collection of approximately thirty-five Curwen Press End Papers,Various Artists||existing,roseberys-a0250-lot283,Untitled (A0250 lot 283),roseberys-a0250-lot283-record,https://www.roseberys.co.uk/bidding/A0250-modern-contemporary-prints-165/283-a-collection-of-approximately-thirty-five-curwen-press-end-421613,
repoint,AMENDMENT : Please note,Douglas Gordon||existing,roseberys-a0583-lot198,Croque mort (D) (Undertaker (D)),roseberys-a0583-lot198-record,https://www.roseberys.co.uk/bidding/A0583-prints-multiples-459/198-amendment-please-note-there-is-an-edition-of-this-print-in-545647,
repoint,AMENDMENT : Please note this work is called A streetcar named desire #2 not as stated,David Yarrow||existing,roseberys-a0583-lot197,A streetcar named desire #3,roseberys-a0583-lot197-record,https://www.roseberys.co.uk/bidding/A0583-prints-multiples-459/197-amendment-please-note-this-work-is-called-a-streetcar-named-545671,
repoint,AMENDMENT Please note VAT does not apply to hammer price on this Lot.,William Turnbull||existing,roseberys-a0550-lot153,Circus Figures,roseberys-a0550-lot153-record,https://www.roseberys.co.uk/bidding/A0550-prints-multiples-429/153-amendment-please-note-vat-does-not-apply-to-the-hammer-524480,
repoint,AMENDMENT Please note image for this Lot should be with a blue background.,Eelus (Lee Pennington)||existing,roseberys-a0503-lot363,Wotulookin-at,roseberys-a0503-lot363-record,https://www.roseberys.co.uk/bidding/A0503-prints-multiples-385/363-amendment-please-note-the-image-for-this-lot-should-be-with-506698,
repoint,AMENDMENT: Please note dimensions of sheet 150 x 114cm,David LaChapelle||existing,roseberys-a0724-lot353,"Archangel Michael: And No Message Could Have Been Any Clearer, Hawaii 7/23/09",roseberys-a0724-lot353-record,https://www.roseberys.co.uk/bidding/A0724-prints-multiples-604/353-amendment-please-note-the-dimensions-of-the-sheet-are-150-x-596408,
repoint,AMENDMENT: Please note this is a Lithograph printed in olive green with later hand-colouring and graphite rather than lithograph printed in colours as described.,Henri de Toulouse-Lautrec||existing,roseberys-a0207-lot120,"Henri de Toulouse-Lautrec, French 1864-1901- ""La Passagère du 54 ou Promenade en Yacht"", 1895, (Deltteil 366; Wittrock P 20 I; Adriani 145 I); lithograph in colours, first state, signed in black crayon, with the artist's red monogram stamp (Lugt 1338), unnumbered, possibly a proof from the edition of 50, on imitation Japan paper, mounted in a glazed 18th century carved giltwood frame, 62x44cm",roseberys-a0207-lot120-record,https://www.roseberys.co.uk/bidding/A0207-modern-contemporary-prints-128/120-amendment-please-note-this-is-a-lithograph-printed-in-olive-400693,
repoint,AMENDMENT: Please note this photograph was printed later c.1980,Alfred Stieglitz||existing,roseberys-a0494-lot197,"Equivalent, from Set A",roseberys-a0494-lot197-record,https://www.roseberys.co.uk/bidding/A0494-prints-multiples-376/197-amendment-please-note-this-photograph-was-printed-later-502565,
repoint,AMENDMENT: Please note this photograph was printed later c.1980,Alfred Stieglitz||existing,roseberys-a0494-lot196,Equivalent,roseberys-a0494-lot196-record,https://www.roseberys.co.uk/bidding/A0494-prints-multiples-376/196-amendment-please-note-this-photograph-was-printed-later-502566,
