absorbed,survivor,survivorNow,rule,decidedBy,backfilled,surnameLast,surnameAny,nameRules,splinkPool0912,imageScan,squashed,surnameEdit1,anyNameBlock,anyBlock
Julian Treveyan,Julian Trevelyan,Julian Trevelyan,nameTypoDatesAgree,rule,True,False,False,typo,False,False,False,True,True,True
Julian Otto Trevelyan,Julian Trevelyan,Julian Trevelyan,aliasShadowing,human,True,True,True,token_subset,True,False,False,False,True,True
Sonia Delauney,Sonia Delaunay,Sonia Delaunay,humanPairs,human,True,False,False,typo,False,False,False,True,True,True
Damien Hist,Damien Hirst,Damien Hirst,nameTypoDatesAgree,rule,True,False,False,typo,False,False,False,False,True,True
Gyula Halasz Brassai,Brassaï,Brassaï,aliasShadowing,human,True,True,True,,True,False,False,False,True,True
Brassai photograph: Untitled,Brassaï,Brassaï,humanPairs,human,True,False,True,,False,False,False,False,True,True
Francis Picarbia,Francis Picabia,Francis Picabia,humanPairs,human,True,False,False,typo,False,False,False,True,True,True
Frederick L Griggs,Frederick Landseer Griggs,Frederick Landseer Griggs,humanPairs,human,True,True,True,initialism,False,False,False,False,True,True
Frederick L. Griggs,Frederick Landseer Griggs,Frederick Landseer Griggs,humanPairs,human,True,True,True,initialism,True,False,False,False,True,True
Blair Rowlands Hughes-Stanton,Blair Hughes-Stanton,Blair Hughes-Stanton,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Gordon Grant,Gordon Hope Grant,Gordon Hope Grant,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
L.S. Lowry,Laurence Stephen Lowry,Laurence Stephen Lowry,humanPairs,human,True,True,True,initialism,False,False,False,False,True,True
Le Corbusier,Le Corbusier (Charles-Edouard Jeanneret),Le Corbusier (Charles-Edouard Jeanneret),humanPairs,human,True,False,True,,True,False,False,False,True,True
MayaHayuk,Maya Hayuk,Maya Hayuk,humanPairs,human,True,False,False,,False,False,True,False,True,True
Marc Chaimowicz,Marc Camille Chaimowicz,Marc Camille Chaimowicz,humanPairs,human,True,True,True,token_subset,True,False,False,False,True,True
Bob & Roberta Smith,Bob and Roberta Smith (Patrick Brill),Bob and Roberta Smith (Patrick Brill),humanPairs,human,True,False,True,,True,False,False,False,True,True
Bob and Roberta Smith [Patrick Brill RA],Bob and Roberta Smith (Patrick Brill),Bob and Roberta Smith (Patrick Brill),humanPairs,human,True,True,True,honorific,True,False,False,False,True,True
Karl Schmidt-rottluff,Karl Schmidt-Rottluff,Karl Schmidt-Rottluff,humanPairs,human,True,True,True,honorific+normalized_equal,False,False,True,False,True,True
Wilfredo Lam,Wifredo Lam,Wifredo Lam,ulanCanonical,rule,True,True,True,typo,False,False,False,False,True,True
Maria Helena Viera da Silva,Maria Helena Vieira da Silva,Maria Helena Vieira da Silva,nameTypoDatesAgree,rule,True,True,True,typo,False,False,False,False,True,True
