artist,field,graphValue,navigartValue,institution,navigartString
André Dauchez,died,1943,1948,Centre national des arts plastiques,"1870, Paris (France) - 1948, Paris (France)"
Armand Guillaumin,born,1891,1841,Musée d'arts de Nantes,"1841, Paris (France) - 1927, Paris (France)"
Armand Guillaumin,died,1955,1927,Musée d'arts de Nantes,"1841, Paris (France) - 1927, Paris (France)"
Claude Lorrain,born,1600,1604,Musée Bourdelle,"1604, Chamagne (Vosges, France) - 1682, Rome (Italie)"
EMIL RUDOLF WEISS,died,1942,1912,Musée d'Art moderne et contemporain de Strasbourg,"1875, Lahr (Allemagne) - 1912, Meersburg (Allemagne)"
Jean Moyreau,born,1690,1712,Centre national des arts plastiques,"1712, Paris (France) - 1762, ?"
Jean-Emile Laboureur,born,1887,1877,Musée d'arts de Nantes,"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)"
Jean-Emile Laboureur,died,1947,1943,Musée d'arts de Nantes,"1877, Nantes (Loire-Atlantique, France) - 1943, Pénestin (Morbihan, France)"
Joseph Pennell,born,1857,1860,Musée d'arts de Nantes,"1860, Philadelphie (Massachussetts, États-Unis) - 1926, New York (New York, États-Unis)"
Louis Marcoussis,born,1883,1878,Musée d'arts de Nantes,"1878, Varsovie (Pologne) - 1941, Cusset (Allier, France)"
Paul Elie Ranson,born,1864,1861,"Centre Pompidou, Musée national d'art moderne","1861, Limoges (Haute-Vienne, France) - 1909, Paris (France)"
Toulouse Lautrec,born,1894,1864,Musée d'arts de Nantes,"1864, Albi (Tarn, France) - 1901, Nouvelle-Aquitaine"
