institution,accessionNumber,title,authorsRaw,bucket,refusalReason
Musée d'arts de Nantes,,René Mauperin,TISSOT James,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier?,Voeux de bonne année de la part de Suzanne Laboureur,LABOUREUR Jean-Emile,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier?,Portrait d'Alphonse Lotz-Brissonneau,LABOUREUR Jean-Emile,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Trois disques bleus sur quatre,"MORIN Jorj (MORIN Georges Pierre Auguste, dit)",excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Les anciens abattoirs de Nantes en 1933,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Parcellaire pour une étoile,"MORIN Jorj (MORIN Georges Pierre Auguste, dit)",excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Losange en formation,"MORIN Jorj (MORIN Georges Pierre Auguste, dit)",excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Paysage aux geysers,"MORIN Jorj (MORIN Georges Pierre Auguste, dit)",excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Sans titre,COGNÉE Philippe,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Moment végétal,"MORIN Jorj (MORIN Georges Pierre Auguste, dit)",excluded_no_inventory,
Musée d'arts de Nantes,,Montagne,MICHELETTI Gabriel,excluded_no_inventory,
Musée d'arts de Nantes,Non inv.,,CORABOEUF Jean-Alexandre,excluded_no_inventory,
Musée d'arts de Nantes,Non inv.,Vierge à l'enfant d'après Titien,PASCAL,excluded_no_inventory,single_token_name
Musée d'arts de Nantes,à inventorier,Sans titre,COGNÉE Philippe,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Sans titre,MORELLET François,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Sans titre,COGNÉE Philippe,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Vue de Nantes du quai Baco en 1928,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,La cale de Port Maillard en 1930,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Ex libris Docteur Paul Thoby,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,Non inv.,,CORABOEUF Jean-Alexandre,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Le miroir d'eau du Canal St-Félix à Nantes en 1932,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,La Psallette,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,La pointe d'amont de l'Ile Feydeau,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Le confluent de la Loire et de l'Erdre à Nantes en 1933,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Vue de Nantes du quai Baco en 1928,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,La Psallette,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,La cale du Port Maillard en 1930,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Le port de poissonnerie à Nantes en 1930,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Le confluent de la Loire et de l'Erdre à Nantes en 1933,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier?,Vue panoramique de la ville de Nantes,LABOUREUR Jean-Emile,excluded_no_inventory,
Musée d'arts de Nantes,non inv.,La mort d'Hyppolite (d'après C.Vernet),DARCIS Louis,excluded_no_inventory,
Musée d'arts de Nantes,Non inv.,La mort d'Hyppolite,"VERNET Carle (VERNET Antoine Charles, dit)",excluded_no_inventory,
Musée d'arts de Nantes,969.8.81.E,(Sans titre),"KARSKAYA (SCHRAYBMAN Ida, dite)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.82.E,(Sans titre),"KARSKAYA (SCHRAYBMAN Ida, dite)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.77.E,(Sans titre),"KARSKAYA (SCHRAYBMAN Ida, dite)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.80.E,(Sans titre),"KARSKAYA (SCHRAYBMAN Ida, dite)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.76.E,(Sans titre),"KARSKAYA (SCHRAYBMAN Ida, dite)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.78.E,(Sans titre),"KARSKAYA (SCHRAYBMAN Ida, dite)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.79.E,(Sans titre),"KARSKAYA (SCHRAYBMAN Ida, dite)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.83.E,(Sans titre),"KARSKAYA (SCHRAYBMAN Ida, dite)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,975.13.27.E,Voeux 1962,"LOUTTRE. B (BISSIÈRE Marc-Antoine, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,975.13.3.E,Voeux,"AFRO (BASALDELLA Afro, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,986.7.3.E,(Sans titre),"CÉSAR (BALDACCINI César, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,3111,Tour de l'évêque (Carcassone),BAUGÉ E.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,989.3.101.E,Oppidum,"GÉRARDIAZ (DIAZ Gérard, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,989.3.62.E,(Sans titre),"ASSADOUR (BEZDIKIAN Assadour, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,989.3.85.E,La longue course,FABIAN,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,3112,Chateaubriant : cour intérieure,BAUGÉ E.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,989.3.88.E,Cité A 812,"ASSADOUR (BEZDIKIAN Assadour, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,989.3.96.E,Aurore,"ASSADOUR (BEZDIKIAN Assadour, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,989.3.54.E,Voeux,"ARMAN (FERNANDEZ Armand, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,09.7.44.E,Le chêne de Bresdin,Anonyme (Signature illisible - Malleray ?),excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,09.7.43.E,Portrait de Bresdin,Anonyme (Signature illisible - Malleray ?),excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,6640,,"Anonyme France, XIXe",excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,12.0.13.E,,"Anonyme France, XIXe",excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,3101,"Florence, San Miniato",DUJARNIC,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,3138,Barque sous le pont,FERRY A.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,2667,Hôtel de Ville de Nantes,KAROLY G.U.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,6223,La sérénade,CARTIER ?,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,975.13.46.E,Voeux 1968,"WITOLD-K (WITOLD Leszek Kaczanowski, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,989.3.30.E,(Sans titre),RIGAL J.J.J.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,989.3.56.E,(Sans titre),RIGAL J.J.J.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,978.7.72.E,Clématite,RIGAL J.J.J.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,978.7.73.E,Le mur bleu,RIGAL J.J.J.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,989.3.103.E,Climat,RICHARD M.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,2011.3.692.E,Tête Lumière n°5,"TAKIS (VASSILAKIS Panayotis, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,975.13.160.E,Strasse 2,FELIXMÜLLER,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,975.13.78.E,(Sans titre),"CÉSAR (BALDACCINI César, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,975.13.107.E,Voeux 1972,"LAURE (GUITET Laure, dite)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,975.13.159.E,"Selbstbildnis
(Autoportrait)",FELIXMÜLLER,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,975.13.176.E,(Sans titre),Anonyme (Signature illisible),excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,3110,"Frédéric II, âgé",Anonyme Ecole allemande XIXème,excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,2011.3.243.E,Les Lévriers,"ERRÓ (GUDMUNDSSON Gudmundur, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,981.15.3.E,"Les Deux-Magots, Paris",LENO,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.62.E,(Sans titre),"ISTRATI (ISTRATE Alexandre, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.59.E,(Sans titre),"ISTRATI (ISTRATE Alexandre, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.60.E,(Sans titre),"ISTRATI (ISTRATE Alexandre, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,981.15.2.E,"Le pin parasol, Ramatuelle",LENO,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,969.8.61.E,(Sans titre),"ISTRATI (ISTRATE Alexandre, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,981.15.1.E,La Baule,LENO,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,2011.3.86.E,Avoriaz,"CÉSAR (BALDACCINI César, dit)",excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,09.7.61.5.E,La berge,Anonyme (Signature illisible),excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,D.2020.0.14.7.99.E,,Anonyme (sans précision),excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,D.2020.0.14.6.51.E,,Anonyme (Chantreau ?),excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,D.2020.0.14.6.44.E,,"Anonyme (Dugeure, J.D)",excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,D.2020.0.14.7.93.E,,Anonyme (sans précision),excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,D.2020.0.14.7.77.E,,Anonyme (sans précision),excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,D.2020.0.14.7.81.E,,Anonyme (sans précision),excluded_unresolved_artist,anonymous_primary
Musée d'arts de Nantes,D.2020.0.14.5.9.E,,Anonyme (sans précision),excluded_unresolved_artist,anonymous_primary
