institution,accessionNumber,title,authorsRaw,bucket,refusalReason
Musée d'arts de Nantes,à inventorier?,Voeux de bonne année de la part de Suzanne Laboureur,LABOUREUR Jean-Emile,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier?,Portrait d'Alphonse Lotz-Brissonneau,LABOUREUR Jean-Emile,excluded_no_inventory,
Musée d'arts de Nantes,à inventorier,Les anciens abattoirs de Nantes en 1933,PINARD René,excluded_no_inventory,
Musée d'arts de Nantes,Non inv.,,CORABOEUF Jean-Alexandre,excluded_no_inventory,
Musée d'arts de Nantes,3111,Tour de l'évêque (Carcassone),BAUGÉ E.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,3112,Chateaubriant : cour intérieure,BAUGÉ E.,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,3101,"Florence, San Miniato",DUJARNIC,excluded_unresolved_artist,single_token_name
Musée d'arts de Nantes,3138,Barque sous le pont,FERRY A.,excluded_unresolved_artist,single_token_name
Centre national des arts plastiques,"FNAC 24313, FNAC 2621",Le Lever,"HIRNÉ (LE RICHE Henri, dit)",excluded_unresolved_artist,single_token_name
Centre national des arts plastiques,FNAC 28629,"Coupe du bâtiment de l'Hôtel de Ville vue en perspective sur la largeur où sont représentées les décorations et illuminations de la cour où s'est donné le bal, la nuit du 30 au 31 août 1739","SALLEY, BLONDEL Jacques-François",excluded_unresolved_artist,single_token_name
Centre national des arts plastiques,FNAC 28630,"Coupe du bâtiment de l'Hôtel de Ville vue en perspective sur la largeur où sont représentées les décorations et illuminations de la cour où s'est donné le bal, la nuit du 30 au 31 août 1739","SALLEY, BLONDEL Jacques-François",excluded_unresolved_artist,single_token_name
Centre national des arts plastiques,FNAC 28574 (1 à 6),Siège de La Rochelle,Anonyme (Ecole française),excluded_unresolved_artist,anonymous_primary
"Centre Pompidou, Musée national d'art moderne",AM 81-65-1048 (2),Les Six Rivières de cristal (Mutamagawa). La Rivière Ide dans la région de Yamashiro (Yamashiro Ide). L'Exil du poète,HIROSHIGE,excluded_unresolved_artist,single_token_name
"Centre Pompidou, Musée national d'art moderne",AM 81-65-1253,Les 53 étapes du Tokaido (Gyôshô Tôkaido). 16e relais (ou 17e vue) : Yui,HIROSHIGE,excluded_unresolved_artist,single_token_name
"Centre Pompidou, Musée national d'art moderne",AM 81-65-1252,Les lieux célèbres de notre pays (Honchô Meisho). Shichirigahama dans la province de Sagami (SôshûShichirigahama),HIROSHIGE,excluded_unresolved_artist,single_token_name
Musée d'Art Moderne de Paris,AME 415,Fleurs,KISLING,excluded_unresolved_artist,single_token_name
Musée d'Art Moderne de Paris,AME 414,Nu au turban,KISLING,excluded_unresolved_artist,single_token_name
Musée Bourdelle,MBCO387,Bible des poètes,ANONYME,excluded_unresolved_artist,anonymous_primary
Musée Bourdelle,MBCO405,"François de Vendôme, duc de Beaufort et pair de France",ANONYME,excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.156,Acrobaties équestres,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.152,Une noce de village,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.159,Les pêcheurs,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.155,Aux bains,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.147,Concert d'amateurs,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.160,Chasseurs couchés,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.198,Portrait de Lamoricière,"Anonyme (XIXe siècle), MENARD Alfred",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.162,Joueurs de billard,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.154,Leçon d'équitation,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.88,Copie de l'autoportrait B4,"Anonyme (XVIIe siècle), REMBRANDT Van Rijn",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.188,Portrait d'un pape (Innocent III ?) d'après un buste du Bernin,"Anonyme (XIXe siècle), LE BERNIN (BERNINI Gian Lorenzo, dit) (attribué à)",excluded_unresolved_artist,anonymous_primary
MAMC+ Saint-Étienne Métropole,43.1.149,Chasseurs bredouilles,"Anonyme (XIXe siècle), DORÉ Gustave",excluded_unresolved_artist,anonymous_primary
