institution,accessionNumber,title,rawMedium
Musée d'arts de Nantes,978.3.1.E (7),(Sans titre),
Musée d'arts de Nantes,978.3.1.E (3),(Sans titre),
Musée d'arts de Nantes,978.3.1.E (8),(Sans titre),
Musée d'arts de Nantes,978.3.1.E (1),(Sans titre),
Musée d'arts de Nantes,978.3.1.E (4),(Sans titre),
Musée d'arts de Nantes,978.3.1.E (2),(Sans titre),
Musée d'arts de Nantes,978.3.1.E (6),(Sans titre),
Musée d'arts de Nantes,978.3.1.E (5),(Sans titre),
Musée d'arts de Nantes,2020.0.1.5.E,(Sans titre),Impression sur papier
Musée d'arts de Nantes,2020.0.1.4.E,(Sans titre),Impression sur papier
Musée d'arts de Nantes,2020.0.1.3.E,Untitled (2020.0.1.3.E),Gravure sur papier
Musée d'arts de Nantes,2011.3.534.E,Sans titre,"Crayon, litho/papier photo"
Musée d'arts de Nantes,975.13.17.E,(Sans titre),Estampe - Tirage sur papier
Musée d'arts de Nantes,2011.3.282.E,Untitled (2011.3.282.E),Gravure sur photo.
Musée d'arts de Nantes,2011.3.260.E,Untitled (2011.3.260.E),Deux gravures sur papier perforé
Musée d'arts de Nantes,2011.3.530.E,4 carrés rouges,Papier éditions Fanal
Musée d'arts de Nantes,2011.3.533.E,Sans titre,Crayon litho / papier photo
Musée d'arts de Nantes,978.7.13.E,Composition,
Musée d'arts de Nantes,1327,Portrait de jeune femme,Mine de plomb rehaussée de crayons de couleur sur papier Velin
Musée d'arts de Nantes,6551,Hommage à la Ville de Nantes,Gravure
Musée d'arts de Nantes,3131,Liszt,Gravure
Musée d'arts de Nantes,05.12.1.E,Typo/Topography of Marcel Duchamp's Large Glass,Impression jet d'encre sur aluminium
Musée d'arts de Nantes,04.6.3.E,$108 Bill,"Papier : Rives BFK, 250 gr. Impression une couleur"
Musée d'arts de Nantes,05.9.1.E,People,Impression offset sur papier couché
Musée d'arts de Nantes,04.6.2.E,Opera,"Papier : Time#1254 (KNP Meerssen B.V., Holland), 225 gr. Impression une couleur"
Musée d'arts de Nantes,04.6.5.E,Untitled (04.6.5.E),"Impression 26 couleurs Papier : Fabriano Büttenkarton, 210 gr."
Musée d'arts de Nantes,04.6.1.E,Untitled (04.6.1.E),Impression couleur
Musée d'arts de Nantes,05.4.1.E,Rosa Mappe,
Musée d'arts de Nantes,2011.3.577.E,"La Famille : l'accordéon, le journal, la télévision","Gravure à l'aiguille sur zinc sur papier, rehaussée avec de l'aquarelle"
Musée d'arts de Nantes,2011.3.48.D,Paysage,Impression sur calque
Musée d'arts de Nantes,2011.3.653.E,Rives de Loire,Aluminographie sur papier Japon
Musée d'arts de Nantes,2011.3.654.E,Rives de Loire,Aluminographie sur papier Japon
Musée d'arts de Nantes,2011.3.652.E,Rives de Loire,Aluminographie sur papier Japon
Musée d'arts de Nantes,2011.3.280.D,(Sans titre),Encre et peinture (gouache ?) sur papier
Musée d'arts de Nantes,09.7.47.1.E,Rodolphe Bresdin au jardin,Xylosophie sur papier Arches
Musée d'arts de Nantes,2011.3.20.E,Untitled (2011.3.20.E),Estampe sur deux feuilles de papier raboutées contrecollées sur papier
Musée d'arts de Nantes,1252,Untitled (1252),"Aquarelle, réhauts de gouache blanche sur ivoire"
Musée d'arts de Nantes,2624,Portrait de Han Riner,Gravure
Musée d'arts de Nantes,07.1.15.E,Le cavalier oriental,Epreuve d'essai
Musée d'arts de Nantes,969.12.2.E,affiche pour une exposition du 1 au 19 mars 1969,"Gravure à la gouge, tirage sur papier"
Musée d'arts de Nantes,2630,Hommage à la ville de Nantes,Gravure
Musée d'arts de Nantes,07.1.19.E,Repos en Egypte à l'âne bâté,
Musée d'arts de Nantes,970.2.1.E,Sans titre,Chromographie sur papier
Musée d'arts de Nantes,2011.3.617.E,Sans titre,"Lithogravure, vernis, papier bouffant perforé"
Musée d'arts de Nantes,2011.3.46.E,La bibliothèque du chien,Alugraphie sur papier Arches
Musée d'arts de Nantes,966.12.21.E,Untitled (966.12.21.E),Bois au canif
Musée d'arts de Nantes,3132,Quai Baco à Nantes,
Musée d'arts de Nantes,989.1.6.E,(Sans titre),Tirage offset sur papier
Musée d'arts de Nantes,979.14.29.E,(Sans titre),
Musée d'arts de Nantes,2011.3.88.E,Sans titre,Gravure sur Velin d'Arches
Musée d'arts de Nantes,975.13.76.E,Voeux 1968,"Gauffrage de papier, dans une pochette en papier rouge"
Musée d'arts de Nantes,975.13.75.E,Voeux 1968,"Estampe, gauffrage, élément mobile - papier"
Musée d'arts de Nantes,975.13.65.E,(Sans titre),Gauffrage et peinture argentée sur carton
Musée d'arts de Nantes,975.13.96.E,(Sans titre),"Gravure sur soie, tirage sur papier"
Musée d'arts de Nantes,975.13.72.E,Auguri 1971,"Papier découpé, estampe, encre noire sur papier contrecollé sur carton cannelé"
Musée d'arts de Nantes,975.13.95.E,(Sans titre),"Xylogravure, tirage sur papier vergé"
Musée d'arts de Nantes,975.13.118.E,Voeux 1962,"Gravure à la gouge, tirage sur papier"
