institution,accessionNumber,title,rawMedium
Musée d'arts de Nantes,1327,Portrait de jeune femme,Mine de plomb rehaussée de crayons de couleur sur papier Velin
Musée d'arts de Nantes,3131,Liszt,Gravure
Musée d'arts de Nantes,1252,Untitled (1252),"Aquarelle, réhauts de gouache blanche sur ivoire"
Musée d'arts de Nantes,2624,Portrait de Han Riner,Gravure
Musée d'arts de Nantes,07.1.15.E,Le cavalier oriental,Epreuve d'essai
Musée d'arts de Nantes,07.1.19.E,Repos en Egypte à l'âne bâté,
Musée d'arts de Nantes,966.12.21.E,Untitled (966.12.21.E),Bois au canif
Musée d'arts de Nantes,3132,Quai Baco à Nantes,
Musée d'arts de Nantes,3070,Feu d'artifice dans un parc ?,Gravure
Musée d'arts de Nantes,3553,Bohémiens,Estampe sur papier vergé
Musée d'arts de Nantes,3552,Bohémiens,gravure/estampe
Musée d'arts de Nantes,6219,Paysans sur la plage,Encre de chine sur papier
Musée d'arts de Nantes,2772,Le port de Nantes,Gravure sur papier Arches
Musée d'arts de Nantes,2770,Le port de Nantes,Gravure sur papier vergé Arches
Musée d'arts de Nantes,972.8.1.E,Fin de journée,Xilographie sur papier vergé
Musée d'arts de Nantes,2542,Untitled (2542),"Gravure au buin, tirage sur papier"
Musée d'arts de Nantes,3742,"Ward Line steamer, New York",
Musée d'arts de Nantes,3684(1),"Nantes, escalier 65 quai de la Fosse",Eau-fore sur papier vergé filigrané bleuté
Musée d'arts de Nantes,966.12.1.B,La Procession,Bois d'impression gravé au canif
Centre national des arts plastiques,FNAC 14109,"Almanach, année 1699. Le camp de Coudun",Gravure
Centre national des arts plastiques,FNAC 14111,"Almanach, année 1699. Le camp de Coudun",Gravure
Centre national des arts plastiques,FNAC 14110,"Almanach, année 1699. Le camp de Coudun",Gravure
Centre national des arts plastiques,FNAC 15726 (1),Paysage de Beauce,
Centre national des arts plastiques,FNAC PFH-4878 (22),Tournoi de chevalerie-L'Entrée de De Clèves/20 juillet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (55),Exposition Universelle de Liège/Hiercheuses sur les hauteurs de Saint-Gilles/Armand Rassenfosse,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (47),Exposition Universelle de Liège/M.E. DIGNEFFE (président du conseil exécutif) M.R. LAMARCHE (commissaire général),Estampe
Centre national des arts plastiques,FNAC PFH-4878 (65),Exposition Universelle de Liège/N. Dorville/Commissaires généraux,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (63),Exposition Universelle de Liège/N. Dorville/Commissaires généraux,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (68),Exposition Universelle de Liège/Renouard et Dorville,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (8),Ministres à Portefeuille : M.M. De Trooz et Francotte,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (29),Le Cortège Historique-Le coiffeur,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (16),L'Ommeganck à la Grand'Place/16 juillet-midi,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (59),Exposition Universelle de Liège/Les Modes de Paris/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (62),Exposition Universelle de Liège/N. Dorville/M. Coertemans consul de S.M. le Shah de Perse à Anvers commissaire général de la Section Persane/Amin Cid Abdenhaman Benani et le commissariat général du Maroc,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (54),Exposition Universelle de Liège/Porte centrale/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (7),Ministres d'Etat : M.M. Beernaert et Graux,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (48),Exposition Universelle de Liège/Les Autorités/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (80),Exposition Universelle de Liège/Alpha P L Omega/Fabry,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (18),Bruxelles 16 juillet-La Procession,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (57),Exposition Universelle de Liège/Le Roi visitant l'exposition en petite tenue/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (45),Musique,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (35),Anvers-Le Collège échevinal,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (49),Exposition Universelle de Liège/Les Dames de Liège après l'inauguration par les Princes/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (51),Exposition Universelle de Liège/Vive le Roi/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (60),Exposition Universelle de Liège/Les Dentellières au Palais de la Femme-La section chinoise/N. Dorville,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (66),Exposition Universelle de Liège/Pavillons dans les jardins/Maurice Feuillet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (37),Le Feu d'artifice au Bois de la Cambre/15 août,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (73),Exposition Universelle de Liège/Exotiques/Paul Renouard,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (34),Anvers-Arrivée du Cortège à la Grand-Place,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (17),Bruxelles 16 juillet-Collège Echevinal,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (15),9 juillet-Fête Militaire à Namur/(Entrée de Maximilien-Emmanuel dans sa bonne ville),Estampe
Centre national des arts plastiques,FNAC PFH-4878 (24),Fête patriotique à la Place Polaert/Bruxelles 21 juillet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (19),19 juillet - Ouverture de l'exposition d'art ancien Bruxellois/au centre artistique-Le comité attend le Roi,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (64),Exposition Universelle de Liège/Maurice Feuillet/Pont Mativa et Palais de l'Alimentation/Pagode chinoise/Palais des Beaux-Arts/Pavillon de la Bulgarie,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (30),Le Cortège Historique-En selle,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (69),Exposition Universelle de Liège/Maurice Feuillet/Arènes Liégeoises/Vieux Liège/Vieux Liège/Palais de l'Art Ancien,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (28),Le Cortège Historique/La Toilette de l'Electricité-Dames de la Cour de Bourgogne,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (70),"Exposition Universelle de Liège/N. Dorville/Neuf Commissaires généraux et Conférence de M. Tamin, resteur de l'Université de Bordeaux",Estampe
Centre national des arts plastiques,FNAC PFH-4878 (23),Tournoi de chevalerie-La Mêlée/20 juillet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (26),Le 75e Anniversaire dans la West-Flandres,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (44),1830-1905,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (20),Le Colonel de Witte - Nettoyage des armes,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (13),Bruxelles 2 juillet - Revue des Gardes,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (52),Exposition Universelle de Liège/Le Comité exécutif/N.Dorville,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (25),Banquet des Bourgmestres/Bruxelles 21 juillet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (39),Inauguration de l'Arcade,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (67),Exposition Universelle de Liège/L'Exposition la Nuit/Maurice Feuillet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (5),Chez le Roi,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (33),Le Roi en province,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (9),Construction de l'Arcade (Palais du Cinquantenaire),Estampe
Centre national des arts plastiques,FNAC PFH-4878 (14),Pose de la première pierre d'un institut colonial à Tervueren/2 juillet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (6),Barons Constant et Auguste Goffinet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (71),Exposition Universelle de Liège/Illuminations dans le parc de la Boverie/Maurice Feuillet,Estampe
Centre national des arts plastiques,FNAC PFH-4878 (2),Le Roi descend de voiture,Estampe
