category,entry,similarity,titleRatio,anchorYear,otherYear,techOverlap,anchorTitle,otherTitle,anchorId,otherId
A_citation_error,Baer-80,0.4704,0.074,1924,1949,Etching,La Guitare,"Original copper plate VII from Carmen Portfolio, with its accompanying etching on paper (2 works)",picasso_paris-cw-Pablo_Picasso-Baer-80-la_guitare,bonhams-cw-Pablo_Picasso-Bloch-531-568-original_copper_plate_vii_from_carmen_portfolio_with_its_accompanying_etching_on_paper_2_works
A_citation_error,Baer-80,0.4507,0.074,1924,1949,Etching,La Guitare,"Original copper plate III from Carmen Portfolio, with its accompanying etching on paper (2 works)",picasso_paris-cw-Pablo_Picasso-Baer-80-la_guitare,bonhams-cw-PABLO_PICASSO-Bloch-531-568-original_copper_plate_iii_from_carmen_portfolio_with_its_accompanying_etching_on_paper_2_works
A_citation_error,Baer-77,,0.071,1923,1927,Etching,Profil. II,Homme et femme (Man and Woman),picasso_paris-cw-Pablo_Picasso-Baer-77-profil_ii,bonhams-cw-Pablo_Picasso-Bloch-77-homme_et_femme_man_and_woman
A_citation_error,Baer-156,,0.195,1930,1965,,Céphale tue par mégarde sa femme Procris,"Sculpteur et sculpture, from Sable mouvant",picasso_paris-cw-Pablo_Picasso-Baer-156-c_phale_tue_par_m_garde_sa_femme_procris,bonhams-cw-Pablo_Picasso-Bloch-1187-sculpteur_et_sculpture_from_sable_mouvant
B_same_work_alias,Bloch-217,0.9619,0.373,1934,,Etching,Sculpteur avec un groupe sculpté (Hommage à Carpeaux),Sculpteur et Trois Danseuses Sculptées,picasso_paris-cw-Pablo_Picasso-Baer-421-sculpteur_avec_un_groupe_sculpt_hommage_carpeaux,bonhams-cw-Pablo_Picasso-Bloch-217-sculpteur_et_trois_danseuses_sculpt_es
B_same_work_alias,B.-140,0.9565,0.517,1931,1931,Etching,Deux Sculpteurs devant une statue,"Deux Sculptures devant une Statue, Pl. 7, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-207-deux_sculpteurs_devant_une_statue,bonhams-cw-Pablo_Picasso-B.-140-deux_sculptures_devant_une_statue_pl_7_from_la_suite_vollard
B_same_work_alias,Ba.-207,0.9565,0.517,1931,1931,Etching,Deux Sculpteurs devant une statue,"Deux Sculptures devant une Statue, Pl. 7, from La Suite Vollard",picasso_paris-cw-Pablo_Picasso-Baer-207-deux_sculpteurs_devant_une_statue,bonhams-cw-Pablo_Picasso-B.-140-deux_sculptures_devant_une_statue_pl_7_from_la_suite_vollard
B_same_work_alias,Czwiklitzer-95,0.9522,0.559,1956,,,Exposition Peinture - Vallauris 1956,Painting-Exhibition Vallauris 1956,bonhams-cw-Pablo_Picasso-Czwiklitzer-95-exposition_peinture_vallauris_1956,bonhams-cw-Pablo_Picasso-Czwiklitzer-95-painting_exhibition_vallauris_1956
B_same_work_alias,B.-167,0.9498,0.283,1933,1933,Etching,Sculpteur et son modèle avec un groupe sculpté représentant un Centaure embrassant une femme,"Le Repos du Sculpteur devant un Centaure et une Femme, from La Suite Vollard",bonhams-cw-Pablo_Picasso-B.-167-le_repos_du_sculpteur_devant_un_centaure_et_une_femme_pl_58_from_la_suite_vollard,bonhams-cw-Pablo_Picasso-B.-167-le_repos_du_sculpteur_devant_un_centaure_et_une_femme_from_la_suite_vollard
B_same_work_alias,Ba.-320,0.9498,0.283,1933,1933,Etching,Sculpteur et son modèle avec un groupe sculpté représentant un Centaure embrassant une femme,"Le Repos du Sculpteur devant un Centaure et une Femme, from La Suite Vollard",bonhams-cw-Pablo_Picasso-B.-167-le_repos_du_sculpteur_devant_un_centaure_et_une_femme_pl_58_from_la_suite_vollard,bonhams-cw-Pablo_Picasso-B.-167-le_repos_du_sculpteur_devant_un_centaure_et_une_femme_from_la_suite_vollard
B_same_work_alias,Bloch-172,0.9471,0.258,1933,1933,Etching,Vieux Sculpteur et jeune modèle avec le portrait sculpté du modèle,"Le Repos du Sculpteur II, from La Suite Vollard (Bloch 172)",picasso_paris-cw-Pablo_Picasso-Baer-325-vieux_sculpteur_et_jeune_mod_le_avec_le_portrait_sculpt_du_mod_le,forum-130483
B_same_work_alias,Bloch-1098,0.9467,0.406,1962,1962,Linocut,Nature morte à la pastèque,Nature Morte à la Pastèque (Still Life with Watermelon) (Bloch 1098),"bonhams-cw-Pablo_Picasso-Bloch_1098,_Baer-1301-nature_morte_la_past_que",forum-154337
B_same_work_alias,Bloch-217,0.9423,0.353,1934,1934,Etching,Sculpteur avec un groupe sculpté (Hommage à Carpeaux),Sculpteur et Trois Danseuses Sculptees (Bloch 217),picasso_paris-cw-Pablo_Picasso-Baer-421-sculpteur_avec_un_groupe_sculpt_hommage_carpeaux,forum-63770
B_same_work_alias,Bloch-345,0.9406,0.406,1936,,Aquatint;Etching,La Mère poule,Histoire Naturelle: La Mère Poule,picasso_paris-cw-Pablo_Picasso-Baer-592-la_m_re_poule,bonhams-cw-Pablo_Picasso-Bloch-345-histoire_naturelle_la_m_re_poule
