accessionNumber,title,rawMedium
APD31-95,Sans titre,
MP2804,Portrait posthume de César Vallajo . III,"Gravure sur la cire d'un stencil ou d'une""ardoise magique"", au crayon ou au bâtonnet de bois"
MP2803,Portrait posthume de César Vallejo. I,"Gravure sur la cire d'un stencil ou d'une""ardoise magique"", au crayon ou au bâtonnet de bois"
MP2988,Femme assise en tailleur: Geneviève Laporte,"Grattoir direct et grattoir sur cuivre, Ier état. Épreuve tirée par Javier Vilato"
MP2722,Tête avec plume et tarlatane,"Erwinographie sur verre, avec reprise de la gélatine, IIème état. Épreuve tirée par l'artiste"
MP2983,Tête de femme,Gravure sur tôle de fer par Gonzalez d'après un dessin de Picasso. Épreuve tirée par Lacourière en 1937 ou 1938
MP2723,Tête avec plume et tarlatane,"Erwinographie sur verre, avec reprise de la gélatine, IIème état. Épreuve tirée par l'artiste"
MP3417,La Femme au fauteuil (variante),"Lavis sur deux zincs, IIIème état du report du IIème état de la ""Femme au fauteuil n°4 (d'après le violet)"", et ""Jeune femme"", tirée par Mourlot"
MP3418,La Femme au fauteuil (variante),"Lavis sur deux zincs, IIIème état du report du IIème état de la ""Femme au fauteuil n°4 (d'après le violet)"", et ""Jeune femme"", tirée par Mourlot"
MP2017-1,"Profil, Corrida, Faune et Centaure poursuivant une Baigneuse",Gravure au canif
MP1982-4(1),Presse à bras utilisée par Picasso à «La Californie»,Fonte
MP2003-1,Portrait de Max Jacob par Picasso et poème manuscrit de Max Jacob,Impression en fac-similé
MP2982,Tête de Femme,Gravure sur tôle de fer par Gonzalez d'après un dessin de Picasso. Épreuve tirée par Lacourière en 1937 ou 1938
MP2725,Tête avec plume et tarlatane,"Erwinographie sur verre, avec reprise de la gélatine au grattoir, VIème état. Épreuve tirée par l'artiste"
MP2802,Portrait posthume de César Vallejo. II,"Gravure sur la cire d'un stencil ou d'une""ardoise magique"""
MP2981,Tête de femme,Gravure sur tôle de fer par Gonzalez d'après un dessin de Picasso. Épreuve tirée par Lacourière en 1937 ou 1938
MP2984,Verre et pomme,Cliché zinc
MP2724,Tête avec plume et tarlatane,"Erwinographie sur verre, avec reprise de la gélatine, IIème état. Épreuve tirée par l'artiste"
MP2734,Les Yeux fertiles,Encre sur Kodatrace insolé sur cuivre. Épreuve tirée par Lacourière
MP1990-387,Exposition Peinture - Vallauris 1956,"Impression typographique offset , imprimée par Arnéra"
MP1982-4(2),Bac pour encrage et pose de vernis sur les plaques de gravure,
MP1990-355,Le Hibou au fond blanc,Composition au lavis et crayon frotté : grattages
