,earlier_sales,price_level,signature_hand,signature_initialled,signature_plate,signature_stamped,proof_artist_proof,proof_edition_unnumbered,proof_hors_commerce,proof_trial_proof,proof_unknown,edition_band_151-300,edition_band_31-75,edition_band_<=30,edition_band_>300,edition_band_unknown,area_band_150-400,area_band_900-1800,area_band_<150cm2,area_band_>1800,area_band_unknown,process_aquatint,process_collotype,process_drypoint,process_engraving,process_etching,process_linocut,process_other,process_pochoir,process_screenprint,process_woodcut,house_Roseberys London,house_Skinner,edition_log,area_log,subject_is_abstract,subject_is_comic_satirical,subject_is_surreal
Pablo Picasso,1173.0,526.8730125506507,2.6872590003896097,1.588392714742359,1.4276855901023895,1.0916234410552084,0.9526543176105631,0.7146460315241316,1.0393654898077387,1.6575951386621932,0.9892898424435768,1.2325664217566548,1.5900732337968349,0.9866980464054977,0.5858437025916161,0.28587539810000484,0.8866745190513039,1.1741285480098367,0.7766663233949791,1.1958156871909258,1.7833288206509539,1.3504701939787156,1.0011515516090441,1.861469654598337,1.7842542822341185,1.3993431629710866,1.7800338762459629,1.1642399741490228,1.7399803595986365,0.9305570355233045,1.1608741552504094,0.6711691852128674,0.8321303708195177,1.062740330265015,1.0089020031192617,0.8836403356626251,0.4867659805929255,1.495836677176582
Marc Chagall,893.0,28.914660996727342,3.2722032244752803,2.8967523898123217,1.2928244261193593,1.649855779612919,1.1770940538344041,0.7146460315241316,1.4783243733079074,1.1859144982127376,1.0340781543027433,0.8611077382155669,1.5535352928849224,0.9262529646451366,0.08179364010608586,0.5589976895664577,0.9014430002877081,1.4410157266090735,0.8899645764626744,1.2677513308790211,0.9107438288922668,0.8614358120933304,0.5762594455094626,0.8153405750004519,0.717183604328231,0.8538446252084808,0.7063245861381819,1.4768444263270026,1.7399803595986365,0.8174506092233103,1.7813814880728578,0.35430697809480716,0.8213510124983793,1.346373414466185,1.1497085485647236,1.0099429774696678,0.9903064932373528,1.495836677176582
Joan Miró,848.0,42.00408621641529,2.5975950691431557,1.44672526956195,1.4273301221037298,0.9412006106761999,1.1763683487297572,0.6681670035413598,0.9476550733133142,2.1476337983797205,1.2643686374671523,1.0830000050534618,0.9633442310338748,0.5590935713328462,1.4000446946824758,0.973693718078219,2.1399344687016075,0.8917576515476958,3.0610185323773176,0.723311108914974,0.629160005690598,1.5125024050851263,1.0196549500969743,1.5430024440287835,1.5174920688286224,1.6181244346032841,1.8174663861601574,0.7048617965627567,1.7399803595986365,0.8928067465337881,1.0160232188881393,0.7805460289222435,0.853681178365713,0.8694509258594224,1.4398673689706016,1.0073279207005892,0.5832303204645373,1.5937976638979598
Andy Warhol,677.0,264.82036535885953,2.5741314551788053,3.295867715861561,1.4416540101829896,1.2125018890372494,1.5731476894116736,0.7146460315241316,0.8243202905880791,2.0905236229525226,0.8063296623863937,1.3392119835373721,1.9572442356971071,1.060931087956367,0.37542525311170516,1.0055025521758623,0.929471335515325,0.7660365930994613,0.6660600985125938,0.6191503661338941,0.4781973150483591,1.2002360438400246,1.028026874255764,0.9235103997958526,1.4392567772527582,0.711057943881058,1.1319379891802923,1.1609938516098977,1.7399803595986365,1.5197561283076917,0.9929208168943665,0.3974429060197535,1.7765831033636559,1.1162752674766794,1.1501128096940771,0.4514934216974633,0.9632390691018169,0.6890504681445195
David Hockney,654.0,21.514667940346122,2.2221884490566834,1.6220729193687076,1.4416540101829896,2.1755086423664296,1.2702879438225487,0.7146460315241316,1.2442566675200841,0.861664400472402,0.8721458865691643,0.4848805312637008,1.6735650812888707,0.9863072259414649,0.7634826257084151,0.32430501100513665,0.9150358067541037,0.8707623228806519,1.1823107354212805,0.6618176168535543,0.5310316277705539,1.010028819218932,1.13740126956311,1.078033175536105,1.4392567772527582,0.7532295140067417,0.9910815649093071,1.486354149905163,1.7399803595986365,0.9190431761011748,2.2682540237804476,0.6398242493315517,1.8816841403664537,1.1809143601736736,1.3473774691491318,0.6111566005603055,0.5830837516877436,1.4857236079777771
Laurence Stephen Lowry,446.0,687.9567644034125,2.0314236914814043,1.429316558587338,1.4416540101829896,2.1755086423664296,1.1321039383708447,0.6681670035413598,1.2442566675200841,0.861664400472402,0.9450421709970093,2.1079971088904443,1.5383092714049584,1.1618275892223757,0.5038182752219064,0.9846878286409532,0.9184432705815158,1.1881298622935634,1.140450988245178,1.5437972441016037,1.5376666093629971,1.7506711467988056,1.1249742680820904,1.1080781615860609,1.4392567772527582,1.2738714125007646,0.9910815649093071,1.595678512881335,1.7399803595986365,1.420519630828366,2.545887180147349,0.7149809574919094,0.8600081223844913,1.135533648275006,0.9548251730405528,0.816078965923408,1.0452681159778865,1.0631740996970038
John Piper,446.0,119.42745895344578,0.9738279526114663,1.3302222004868844,1.4416540101829896,1.2464059999267976,1.004469736110852,0.6738549897222423,1.2442566675200841,0.861664400472402,0.6871802380516876,1.1437643814947254,0.8386450785414467,1.0557893534587357,0.5576903451340438,0.9540180018337527,1.1314757396448274,1.029855492233044,1.1274594842373615,0.8374625713889173,1.1920197175073346,1.332323968818697,1.0585575606339157,1.2427596759604953,1.4392567772527582,0.9410661958162093,1.093890460786377,1.1202515925443142,1.7399803595986365,1.0986485286424552,2.0058505297275775,0.5624478278025759,0.8600081223844913,0.9303862964834634,1.2503650404654723,0.6139737103055491,0.8661488118593955,1.5303205644214188
Banksy,415.0,117380.14513882813,1.3998096712508454,2.0171645828720126,1.6107813177853056,0.6044714589631162,1.5256053327262695,0.7146460315241316,1.0165853484139398,2.1372158284499045,0.9100242879958252,1.1390040995718143,1.3630682985256535,0.4108441500567381,1.4442834472450792,0.2722075965218756,0.15553365632817442,0.5542815362558278,1.0009155699637928,0.7216494576898239,0.4762459007603993,1.4657144310710786,1.257650456251124,1.0766746777972933,1.4392567772527582,0.8835404269077641,1.2869624303281326,1.9825954885136399,1.7399803595986365,5.719568446694966,1.3607226765871603,0.5689176907916296,1.3167227303973819,0.8071047889089126,0.8463621388305815,0.8043839006373391,0.816045272988586,1.8582843839218324
Henry Moore,413.0,130.95388544820995,1.9478111407669094,1.4392977211948252,1.4416540101829896,1.2464059999267976,0.9010046990170129,0.6681670035413598,1.2430774724058906,0.8873316953808379,1.2267259270614812,1.064867570019594,0.9951740143737289,1.0386236096768855,0.6889473364956338,0.6989462713157464,1.129036696976153,1.1072831814910356,1.050684993093495,0.9345009263135388,1.1205172031269208,1.2672777496575505,1.0564616955978101,1.105922896739932,1.1626631507518013,1.0691989444914378,0.9910815649093071,1.4482202830331645,1.7399803595986365,1.7082832533483279,2.7016015323738842,0.7059117452460445,1.9504960762779702,0.9879166790477416,1.1218522407314468,0.7292149675462085,0.7052625008049198,1.5489317368847833
Sam Francis,408.0,24.927939770800187,1.8338775553303563,1.1251658943911946,1.4416540101829896,1.2464059999267976,1.0485185590402744,0.7146460315241316,1.0730291402337175,0.9895628933991435,1.0194610971581743,0.8276292289994475,0.9897079702613718,0.7141929261854093,1.090571790539856,0.9586348844203146,1.2182882601844882,1.1147754186966352,0.8464373817056827,0.7849394331373226,1.1332404437513075,1.6424220649766212,1.028026874255764,1.011039327961044,1.4392567772527582,1.6924482122686257,1.0616930428141764,4.130794802176612,1.7399803595986365,0.8624949680349957,1.7296546969156241,0.371172332482863,0.9510332882425564,0.9250140684700717,1.4135295785057103,1.0791545434259298,0.8085499776309706,1.1444429763233683
Roy Lichtenstein,380.0,1487.82611718733,2.6242172016910597,2.1249983415084297,1.4416540101829896,1.3249958025254498,1.3725489319705897,0.7146460315241316,1.1431934876373127,1.8398881124676558,1.0194610971581743,0.8755618366436418,2.6700840203228413,0.897016167720802,0.3627030274828883,0.41066419146866595,0.9236590708693331,1.656428622447835,0.7480834300919048,1.6460269300902555,0.7861137578993085,1.0148520606807256,1.028026874255764,0.9436473333684905,1.4392567772527582,0.6089392904845208,1.1319379891802923,1.5463329958851482,1.7399803595986365,1.2117877968647583,0.6321977923175978,0.8331902105911423,0.735374118450394,1.1246010203751875,0.919544879514083,0.6875182577445905,1.9970628545344167,0.673731627037203
Damien Hirst,370.0,342.13479905092987,2.9582100731685577,1.344154075728554,1.4416540101829896,2.0864991722281436,1.4632226122293017,0.7146460315241316,1.1359312572377676,1.3291724072309714,0.9360800418693125,0.8892850894009842,0.8200593387042243,0.4700197290283167,1.1078191412445317,0.34971168337506703,0.6714519053801341,0.7584341387765268,1.3394331643239101,1.0767387136184778,0.8910249902342547,2.9619916952778422,1.257650456251124,1.0766746777972933,1.4392567772527582,2.382994002949839,1.2869624303281326,4.194477643231123,1.7399803595986365,2.8453394810886534,3.4988892568554304,0.7864295857919182,1.9504960762779702,0.850045440673662,1.117548215261782,1.035745405724484,0.6659555064557222,1.1269086948822873
Rembrandt van Rijn,313.0,300.91569110756166,1.523058405793322,1.5424406532998567,1.2928244261193593,1.5895089053454539,1.232767628139337,0.7146460315241316,1.2378299083404545,1.3120719615681067,1.0194610971581743,0.8939141754620967,1.2901847252089933,1.1993971375138976,0.37461716412375357,0.8203677082895559,1.0797140673240095,1.3065504446050502,1.3646320445294868,1.249609159966651,0.9603156930731706,1.0534051746760371,0.7639965569165493,1.2303833534819135,1.8744329520961451,1.0502915588984272,0.7277784803123006,1.4584612352536293,1.7399803595986365,0.4131933010530033,1.0088175386099936,0.3738931456460623,0.3300941712216847,1.0918225216154829,1.2009169393693921,1.93890456060391,1.1617305570162153,1.1444429763233683
Alexander Calder,301.0,9.741411863650658,1.9746379696817424,1.2521253242470103,1.4416540101829896,1.2464059999267976,1.0936948008461935,0.7146460315241316,0.8592724321186952,1.002470877635571,1.2469488194344416,0.7608994489527586,0.9595651279333308,0.866789927584087,0.5308186143837088,0.6229884288600943,1.0738423749711554,1.0604729607365395,0.8119262768083773,1.0500130723915613,0.9971544735546191,1.1923284081409404,1.0585575606339157,1.2154068290626319,1.4392567772527582,0.8228441884692269,0.9910815649093071,1.4508985111177752,1.7399803595986365,0.6539091249145542,2.1057971739000765,0.48858972820774205,0.7331466524894034,1.0036847133318634,1.4555841876102167,0.8919727836766341,0.6175148198309016,1.1444429763233683
Salvador Dalí,298.0,261.5904478964844,1.429163070613451,1.4429965413358434,1.4273301221037298,1.015901644880351,0.8753117407563735,0.6681670035413598,0.8836334835267812,1.7038969776570916,0.6222040780143671,0.8806969960041744,0.7858995874383504,0.6880757190260155,1.02105862727543,0.5636128115377143,0.8777340221073443,1.2339875442489947,1.3899695939152052,1.0148970197267893,1.1976650776741318,0.9334427749337054,1.0198536886798077,1.0563570039104113,1.1269729626877807,1.3132834478733844,1.8174663861601574,1.0850189189650548,1.7399803595986365,1.022573173470084,0.6806578955425294,0.666981799677207,0.8702700625020646,0.9354621504833562,1.1373652611129719,0.9037681977986266,0.5455833004779833,1.59379766389796
Terry Frost,278.0,72.70779564985874,1.5677102105566456,1.3389612261342492,1.4416540101829896,1.2464059999267976,0.9961525936234752,0.7031689767136012,1.1359312572377676,1.3291724072309714,0.9078907304444839,1.0708087392243022,0.7589726904741783,0.7416020470815157,0.8457573334303403,0.7753903648515392,1.1647765379939927,0.8836825315723668,1.241085974479294,0.6850280824786855,0.8626863954736355,1.0128561810425891,1.028026874255764,1.441441787860038,1.1626631507518013,1.165983480357429,0.9827406403623669,1.5132701719859918,1.7399803595986365,1.2426993169682432,1.5042724729917827,0.8514604731557603,0.8600081223844913,0.8848084122475243,1.312763213009463,0.9958418642497686,0.7624527865541175,1.1382157604546614
Tracey Emin,271.0,204.63495859514762,1.7594274166701653,1.3234424971772594,1.4416540101829896,2.1755086423664296,1.300151796186713,0.6681670035413598,1.1359312572377676,1.3291724072309714,0.9692201067422325,0.8142482840236551,1.2789430446704868,0.9036317071048824,0.5413669258431605,0.6324467757259994,1.3186273790723386,1.2158109623497904,1.1189884907074574,1.4486457227487513,0.9521297290812614,1.4542533426187543,1.028026874255764,1.0766746777972933,1.4392567772527582,1.0705598816758002,1.2869624303281326,0.9383065100659342,1.7399803595986365,0.7110253077584312,2.1420945238185687,0.9168560004919654,1.9504960762779702,1.0234764668632135,1.0840388538237744,0.7092622499934922,0.6365599823057118,1.1000026122657471
Peter Blake,259.0,59.88084363564868,1.1410179328962806,1.1621520244626835,1.4416540101829896,2.1755086423664296,0.9893863628322641,0.7054200291061766,1.1359312572377676,1.3291724072309714,1.0366007303014688,1.3443904804684268,0.9600398719601773,1.8591847053460435,1.3012983798111646,0.8070591120341298,1.6137720354836356,0.6761319221080603,1.2402816256229696,0.8574715543334838,1.2318603038280276,1.6110638842413922,1.257650456251124,1.1866142896185663,1.4392567772527582,1.5951925042208073,1.2869624303281326,1.7210346649984132,1.7399803595986365,1.8326069657321178,1.7709962769052183,0.4842626748750966,0.8600081223844913,0.9081271299139126,1.2409358810763262,0.7555089032191333,0.7470560974658533,0.7342363306863102
Takashi Murakami,246.0,1107.946694114837,0.9417545610912035,0.9880611269132874,1.4416540101829896,2.1755086423664296,1.1400649530209932,0.7146460315241316,1.7770675356004246,1.3291724072309714,1.0921718534936036,0.7958210730107108,0.7978540665331061,0.9417262148762688,0.9921707330496592,0.6760752423029226,0.9551148423912047,0.7288699326409729,1.2285778217071173,0.7548663652126041,1.1085961665330308,3.1603550997258636,1.028026874255764,1.1866142896185663,1.4392567772527582,1.3610661198663323,1.2869624303281326,1.6717392823220276,1.7399803595986365,1.5916946758556223,2.4725663294472673,0.7622192291960154,0.9459472204239249,0.861465307731804,1.1278658508154242,0.8150590661744316,1.0608402094657974,1.1334682688363367
