,earlier_sales,price_level,signature_hand,signature_initialled,signature_plate,signature_stamped,proof_artist_proof,proof_edition_unnumbered,proof_hors_commerce,proof_trial_proof,proof_unknown,edition_band_151-300,edition_band_31-75,edition_band_<=30,edition_band_>300,edition_band_unknown,area_band_400-900,area_band_900-1800,area_band_<400,area_band_>7500,area_band_unknown,process_aquatint,process_collotype,process_drypoint,process_engraving,process_etching,process_linocut,process_offset,process_other,process_pochoir,process_screenprint,process_woodcut,house_Forum Auctions,house_Roseberys London,house_Skinner,house_Swann Auction Galleries,area_log_xl,subject_is_abstract,subject_is_comic_satirical,subject_is_surreal,poster,after,object,unsold
Pablo Picasso,2894.0,1508.4257887097365,2.6510113204028247,1.638514682408823,1.302757747382601,1.1552020995672345,0.8763067412459379,0.8994381780570035,1.0846126361677546,1.9625436361691158,1.9227450286247418,1.125460077314781,1.2598526521347946,0.9765494488008668,0.6680613361705576,0.805696198827243,0.7119853619895816,0.8569788964751844,0.5440010095520477,1.5052792719988206,1.1005800929446081,1.4929947634148275,2.3720253660223487,1.9464637479492202,1.4880025958245322,1.4693648523887952,1.6180332780101563,0.8130181897851461,0.920162060193595,2.0315265640640616,0.799833601201513,1.2651402798651175,0.7249823114816729,0.479954569319218,0.6008017976027729,1.261620945761357,1.704923224099702,0.769201438602959,0.4271139981262009,0.9389153829992855,0.5176113302429192,0.8094093165223627,6.54156011631048,1.0902710270315983
Marc Chagall,1916.0,2298.5287358767096,2.123300681665107,1.987408943232087,1.0923684488887513,0.9406055066496457,1.090587782821197,0.7195850840951933,1.2212771300107117,0.9956782030823864,1.6349935396169772,1.0553572942524054,1.1026498358684937,0.9765737923652911,0.4995443219916599,0.5645590770672131,0.5400838978462595,0.814181844259639,0.5191564977735477,1.966278292263025,0.45117814996465333,0.8599056063497398,0.6296150943204648,1.0081541231481301,1.0602133762662473,0.8659029835431078,0.8324617277659555,0.39327572165596514,2.093734138477445,1.0765364217222277,0.5659926610857597,0.8717194294578937,0.6568573318698911,0.3707845070463079,0.6054437390948556,1.1385193161286222,1.3257614991065232,0.9050076311181695,0.617520543520949,0.9288439104081321,0.3372160184893803,1.004361900062746,1.8638211107065947,1.087117269236536
Rembrandt van Rijn,1889.0,4032.842481822525,1.3235348602948134,1.8070305936195592,0.7606097206373008,1.193028878316728,1.0278753278839148,1.278014109189357,1.0322813428143336,1.5102483059973832,1.1453170814628775,0.6227134621880359,1.1305313860502955,1.145117994823696,0.7608060799117399,1.048438218919021,0.6310468136589477,0.6172996531659599,0.47352680839089145,1.6368514022126592,0.32712124002854076,1.446127414601724,1.1038548398405552,1.1391362323753398,0.7996105665870178,1.0534528350726826,1.0546278132210933,0.7000881918606331,1.3944373031614592,1.1193410349267006,1.0742310948596778,1.2650040886420004,0.9235700625184069,0.3081722495211137,0.2511136463078015,1.3757690993968519,1.3443387928047221,0.9226442367072719,0.717276261929723,1.0704988326388034,0.7157573107967581,0.2796939368412694,1.4260686991413292,1.2715478255309807
Joan Miró,1888.0,736.9141192545324,2.939253378719125,1.6671762793662122,1.3075237643768365,1.6652693696280885,1.1568028732129192,0.8041817490053901,0.9316178583963218,1.099805496944579,1.2214602230603337,0.9901868681955892,1.1296262494268132,1.0361798889955551,1.089597052150126,0.9532809610203885,0.6488852289037736,0.7984620768393001,0.6078305875985558,2.4613501332433385,0.8131315928130814,1.6570211423198458,2.4099433552678864,2.1079404900691903,0.7065806242508215,1.560627249534833,1.6155142480249978,0.6660918838619511,0.6604980487852166,2.056787077722266,0.7024622185300881,1.5521161523544715,0.6964033357018483,0.8735782665564412,0.8347632018665899,1.3308918915900803,0.978733805265865,1.0459959614448184,0.5697633809734203,0.9942525512486038,0.49939030878552904,0.8796456155515685,4.536159197271041,1.1693567700964551
Salvador Dalí,1408.0,1246.1688557569532,0.9795435751129453,1.5944028031756743,1.3075237643768365,1.3479090297001777,1.0452247521421782,0.9022078711094454,0.881732111961436,1.5057000536631995,0.908218389802173,0.8648164710791874,0.990483430905166,1.015989450394894,0.9342889041625838,0.8798940346125711,0.7788013896056691,0.8390116393992881,0.5727311906958352,0.8300153954058679,0.5949199028041919,0.8822683638169242,2.4099433552678864,0.9584568134269176,1.0605757488073315,1.0530803233770374,1.6155142480249978,0.7904308869671324,1.2682699902182095,2.056787077722266,1.0911108849022753,0.9847916568311447,0.6225896178526261,0.6948594292765529,0.7115610992268774,2.034478784844583,1.5064049391778596,0.9202414532102947,0.8748762230343596,1.0024004357349159,0.508892543163054,0.5117116230515898,5.924989561211012,1.0078596747238004
David Hockney,1267.0,1539.818640621636,2.2246077589756683,1.075126713279589,1.0923684488887513,0.8501523028726233,1.2996667190032545,0.9037138785327805,1.1380409992293732,1.1812001252286777,1.3100429398921238,0.6918137369638598,1.5077485885304343,1.0869779524736989,0.8264598681328241,0.4628711743619313,0.7658230432998998,0.8577438097993033,0.552800938003587,1.4487930984404418,0.8064894630354184,0.869421238366196,0.6073403122481055,0.6932850151765362,0.7906413304558313,0.7497028367859755,0.8785710768537658,0.6263728108014643,1.495795620323865,1.1193410349267006,0.599843699847809,0.9965973412762211,0.7701021654948833,0.7409664949316086,1.8452253778767302,1.1086486407007476,1.6450004445170616,0.46594247533530414,0.7618322420738275,1.1550805556906816,0.8987630196717623,0.689511032488528,0.8450052904801186,1.062347600306869
Andy Warhol,1242.0,2346.7187339581105,1.5788247459964007,1.7577558053398046,1.0619096779488093,1.084697800333282,1.4682416323925749,1.9014143396341183,1.1064678246433257,2.3701159102549703,4.275556745773478,1.4835200763439547,1.8566436076291506,0.7147548054068793,0.723654863537316,0.8360554802674696,0.7944719718401407,1.0082605971388914,0.7443995220377948,1.977909864878951,0.7505265480199671,1.4982895099437974,1.1038548398405552,1.1527921813252702,0.999064749159152,0.6008765710669746,0.9685410662245338,1.1114065458106965,1.135529654896513,1.1193410349267006,1.4199017573140627,0.9891784464626815,0.9279986241481668,0.9582681060738214,0.9893865684505077,1.4957425945618372,0.8905556263918668,0.3776319803379553,0.8791982801078314,1.460266593588354,0.4843006268780359,0.2252288204485849,0.9901717805494119,1.2880405437478302
Damien Hirst,1066.0,756.0651633555383,2.151581672573496,1.1739775405573674,1.0923684488887513,2.1108152050243922,1.4181748076619953,0.6037443096033533,1.1380409992293732,1.1812001252286777,0.9309733940148575,0.8569506063890898,1.2478684130464366,1.2942168824382014,0.5253040969724827,0.6683063658271396,1.0081700877936333,0.5642543659710554,0.3503446332041872,1.383048889646605,0.7676051119578623,2.1589914704864652,0.743984450776209,0.9559862274294515,0.999064749159152,1.4912658787886293,0.5837383884788948,0.5784875926348949,2.9595481532687646,1.1193410349267006,2.147214772152038,1.9089177158610375,0.8759481840183908,0.8977096167772431,0.9529737297707963,1.4957425945618372,1.182525858072547,1.2161198114303184,0.5664353682927709,1.353538989525282,0.586304602969273,0.5794357342175116,0.9877371219695733,1.1732831058666822
Henry Moore,841.0,561.5920794959861,1.5531890023119406,1.3356357841004947,1.246723454065247,1.130584706213874,0.9602742711121534,1.0515332353499738,1.4858224190077778,1.05341795828323,1.1278768866613997,1.0001102240574524,0.9541109102983883,1.1122448458118719,0.7871389653229999,0.814001223723576,0.7500088662380209,0.8966602780911156,0.7574663534199464,1.2267227643828436,0.9041738996554324,1.2148217962546615,1.4341300441621287,1.051339167600097,0.5676924259487375,1.1123240573430293,1.0546278132210933,0.8259666121955097,1.4364390708122217,1.1193410349267006,1.2354644134069641,2.482636904872109,0.6177405454252138,0.71537362314976,0.8174697016869947,1.8711009847794877,1.7064701215797808,0.8841262056669753,0.9029691678552838,1.195494962227021,0.5499435555707175,0.5251567013926897,1.4260686991413292,1.0883342001631449
Banksy,784.0,8009.186325744634,1.5244724833832453,1.287440775439712,0.7865427920563786,0.5860988665153855,1.4672886097049285,1.0388975987355427,0.9187873114208676,2.4411678517334865,1.853828772689801,0.9474638722615545,1.4330567889262409,0.7784374392415104,0.9598451023819871,0.2360572756167378,3.094400266379969,0.9659408368136271,0.6786129589975473,0.7178736511793753,1.044855773583495,1.5256215584745487,0.5859040239260395,0.6659359622550186,0.999064749159152,0.8867026372204845,0.7494881150508979,0.5350466053560009,0.8229493728001178,1.1193410349267006,1.766478213062509,1.0930231775260253,0.6678825229613184,0.5579891917588502,0.981840817019838,1.4957425945618372,1.6683069783569504,0.8477415287089386,0.8896812800624011,1.5755938547416728,0.7096955579887524,0.41239476074641107,0.7069957790716064,1.3310204600866489
