,earlier_sales,price_level,signature_hand,signature_initialled,signature_plate,signature_stamped,proof_artist_proof,proof_edition_unnumbered,proof_hors_commerce,proof_trial_proof,proof_unknown,edition_band_151-300,edition_band_31-75,edition_band_<=30,edition_band_>300,edition_band_unknown,area_band_400-900,area_band_900-1800,area_band_<400,area_band_>7500,area_band_unknown,process_aquatint,process_collotype,process_drypoint,process_engraving,process_etching,process_linocut,process_offset,process_other,process_pochoir,process_screenprint,process_woodcut,house_Forum Auctions,house_Roseberys London,house_Skinner,house_Swann Auction Galleries,area_log_xl,subject_is_abstract,subject_is_comic_satirical,subject_is_surreal,poster,after,object,unsold
Pablo Picasso,2413.0,1497.4974581923855,2.5797653359555413,1.3321391399350706,1.2302586604684118,1.135314627433486,0.9490290962270305,0.9173360222382562,1.1609859246098262,1.873911744850354,2.4607632745476318,1.1566717040626806,1.277952596389622,1.0982978563695769,0.682278552966293,0.8028770722774494,0.7104473604221399,0.8563801070416939,0.5436534429271336,1.5736401878491268,1.1222901364343605,1.4575516848128691,2.2885383656310267,1.9897446290762935,1.3972716981469453,1.475955289646095,1.41437155207435,0.8090788055605028,1.0064076972736526,1.5905426024113973,0.8774301761186462,1.3288221687575532,0.60882346497626,0.42897299680933804,0.6153427101337399,1.2554571374952654,1.5078930810484747,0.7594389198795187,0.4583553667797236,1.063805694803696,0.5396774358911571,0.8061154156194087,6.190243023520718,1.0863970691602172
Marc Chagall . Charles Sorlier,1657.0,2184.6566101964822,2.1565292939560354,2.042285067441771,0.9493648283361246,0.9402185129267792,1.1606560836563828,0.7775815188808501,1.2760161288977991,0.9770668869230849,1.387959659669642,1.13338082745142,1.0882213357906734,0.9841148246827365,0.5167701776596332,0.6162435311313629,0.5531815339308312,0.8231649464090078,0.5212418080632127,1.1508584867250273,0.41641592819212125,0.8638092989936543,0.6090775605965283,1.0331402766519509,1.0821892424817092,0.855867259626844,0.8341076957245753,0.334874962731311,2.0330656226496293,0.9837243077149946,0.46568548848095825,0.8551949215587414,0.5690869839719204,0.3538524469076574,0.46131019754741415,1.1339363243611074,1.5586542129957477,0.9156111060502332,0.6836045480723721,0.7942205433356553,0.35095444815868043,1.008004019173166,1.409401491717244,1.105093992385251
Joan Miró,1572.0,850.3103450361778,2.501943490222451,1.4143036570279108,1.2382129803041086,1.4028279612237213,1.184311362764158,0.803589217931235,0.9598661947020085,1.1634822494836792,1.3596202488673363,0.9963758078758843,1.1282888321729918,0.9001278337971895,1.3543010735670766,1.0129405866773704,0.6324420955238309,0.8150422992141295,0.6476502784130009,2.629579459490542,0.8486644311222916,1.6304800279074172,2.324089491026254,2.978941252296419,0.9616402340607687,1.8028642130798938,1.422373901058741,0.6147245909018243,0.5588746838071611,1.6054820051018504,0.8556401421600198,1.4522116184627758,0.5486439898574224,0.8535486819434491,0.6841898468807338,1.3509575584301627,0.8508312936339277,1.0058628880358265,0.568468980300976,1.0441861821520648,0.5140063642276705,0.9038848114338355,4.235557011053124,1.1660267996813005
Rembrandt van Rijn,1489.0,3897.4636530178755,1.9059438348707294,1.570594151097291,0.8381651647544437,1.1448759139111646,1.0134935798452225,1.2495165208264989,1.0259468589947143,1.3215540152947662,1.1773061752024678,0.570722643781538,1.1446635354032941,1.1698761998430016,0.6557465646365368,1.0266466315910838,0.6322000030391377,0.5965575313903376,0.48642063477965025,1.681956645699976,1.345738142057325,1.352528824915588,1.2311804516660048,1.1754411046591566,0.7616880893074577,1.0227761594950693,1.127254896014253,0.7411125631310471,1.462693666579683,1.092094366577505,1.0996664265247036,1.253161095441044,0.939004376380601,0.2843561650809761,0.1595978775430612,1.4763789197691175,1.319145823657824,0.9184462608627718,0.7272748077171463,1.0441861821520648,0.7018787241606239,0.24774961877850468,1.409401491717244,1.2682601579045463
Andy Warhol,930.0,2590.0782013799844,1.5312574869908269,1.9094025765006593,0.8176289194685626,1.0565445091492223,1.5734922266091318,2.0398609599221693,0.9561284855320621,2.3031378976000214,4.121268633537739,1.47409690566038,1.8733762880259601,0.8341750471211223,0.7098030302937065,0.8803727010227752,0.9285490439089047,1.0868799539356513,0.7289605361980818,1.8814033985775862,0.9036827892941495,1.224311265469462,1.2311804516660048,1.1798764015329566,1.0944518160344305,0.5330543200462465,1.1171867961852602,0.9357733015545945,1.044256980028827,1.092094366577505,1.1903432912425644,0.898660171235283,0.7505260302598514,0.7770959349022538,1.3175585762047364,1.5052336539673588,0.8130348195491348,0.3941312743862074,0.9833455339257833,1.2269091561984804,0.4697767980242854,0.24922715163213557,0.9655308310798357,1.4212980163907745
David Hockney,921.0,1494.7066280438828,2.210145109161547,1.1373456144298746,0.9493648283361246,1.7883185760313214,1.1523064107701355,0.5819548148533127,1.000370444885948,1.144461121342967,1.1681180438514094,0.6761065559970995,1.4338784332170755,1.071571162932839,0.8703932126644548,0.43736019858020825,0.7677177068792354,0.8703699059960124,0.5332632018933873,1.5550287556488382,0.8507851523236738,0.8566536702968593,1.262572366637889,0.764899334188845,0.7257813678110774,0.7319857412646028,0.9478293939090197,0.5780902370313749,1.5202399185703965,1.092094366577505,0.6518195902630348,1.2793000357291577,0.8806170272225613,0.7014912275788192,2.3388153277096078,1.0427431032806396,1.5878814008367568,0.5009157640308611,0.7387665294546103,1.2432160766342129,1.0009392577254768,0.5130591572838701,0.9313551379956987,0.9788501927378792
Salvador Dalí,875.0,1068.7526978453734,0.9995347018856308,1.3689598579601234,1.2382129803041086,1.2131648801628219,0.9738041053969455,0.932559574769276,0.8885880365794561,1.5098953590593793,0.9007893997768115,0.8997958476628943,1.0091717963239644,1.1574141598904857,0.962780524036528,0.8119037282832371,0.6942369118575004,0.9136687616177616,0.6630482270949787,0.8662589947047886,0.6185146859284847,0.969695454050875,2.324089491026254,1.1134809965361607,1.1975127667769352,1.14907480920751,1.422373901058741,0.8532676581200702,1.2613623816494925,1.6054820051018504,1.1612824888352287,1.1768736575450602,0.5651075675637727,0.6763642479740005,0.890095091597639,2.0140655283395548,1.5356912623665198,0.899030419377317,0.8095121433056349,1.0441861821520648,0.5265368381668414,0.6167729438984689,5.3376326429709104,0.9686098954093139
Henry Moore,671.0,623.9554828925534,1.3876475206709498,1.1771186788644228,1.042953536799828,1.0457842869132326,1.0030275387928913,1.0334793848922645,1.4392051150504361,0.9898303306143306,0.9449097890759397,0.9956412697974129,1.0081147910459047,1.1389552585901659,0.7615595629447521,0.8164299720558487,0.7632868024041679,0.8941304012871063,0.787314595589093,1.1623592084027699,0.9520825697155298,1.2122849102744357,1.4101108041114387,1.0641701201300429,0.5566026076691019,1.0726128067366405,1.127254896014253,0.8129586970689388,1.1850630668502873,1.092094366577505,1.160642155980359,2.304738957963294,0.6970012130942773,0.6783618221526168,0.731531922782781,1.7463126046702713,1.677902832398528,0.8965713594036427,0.8351864224654856,1.1822680513345798,0.5249984120687712,0.516757939367702,1.409401491717244,1.129144389119935
Damien Hirst,671.0,846.2334798762689,2.2163928539223763,1.177624878134935,0.9493648283361246,1.9652033199067027,1.7064894007258193,0.6232896517208178,1.000370444885948,1.144461121342967,1.1148453923755322,0.7303048198269577,1.1304949093990617,1.2715536741621074,0.5483701921696971,0.632551134342264,0.8729538757816351,0.5861748562642686,0.4067793341620713,1.2794322053366438,0.7475864607484252,2.1466854233969412,1.262572366637889,1.0443564955852922,1.0944518160344305,1.4954917523026636,0.6428573693594326,0.616892306103562,2.6814584461340227,1.092094366577505,1.981382180794583,1.8478037271706558,0.7751149763833126,0.852573139833105,1.341823208564078,1.5052336539673588,1.164530547793503,1.0848529603597308,0.5584632913446063,1.4431547259931305,0.5181399654717174,0.6995441334351804,1.0266925002901064,1.1731042333616541
Banksy,622.0,6986.038972677908,1.3239633003586508,1.4977829617427618,0.8556623378419679,0.5610414155435385,1.5171090793323954,1.1799727747572863,0.9378473213185741,2.4833594660291882,2.4164162525359676,0.9079639915229001,1.4337131536242247,0.7679744138264665,0.8630101852434763,0.25330833512898876,2.8630685353701106,0.9179259794481827,0.6720317376912376,0.701092538831857,0.925383600215435,1.183215320811954,1.262572366637889,1.0072496951494134,1.0944518160344305,0.7410136649964771,0.6428573693594326,0.6057143149621566,0.9646518643501035,1.092094366577505,2.3634985855018567,1.0579241697005521,0.6406094512292544,0.5709672395269051,1.0692852862372269,1.5052336539673588,1.5244325430241543,0.8207139245317843,0.8544022352036755,1.6121553745180106,0.8050403542789722,0.3873589521626307,0.8800283236588822,1.4647518850130286
