artist,neighbour,weight
Pablo Picasso,Joan Miró,0.30065995462681655
Pablo Picasso,Salvador Dalí,0.21476922039840413
Pablo Picasso,Antoni Tàpies,0.07846225789139068
Pablo Picasso,Francisco José de Goya,0.08487569577546951
Pablo Picasso,René Magritte,0.03852450676689511
Pablo Picasso,Alberto Giacometti,0.035960092641604026
Pablo Picasso,Marino Marini,0.047490556261929114
Pablo Picasso,Francis Bacon,0.03315629106850931
Pablo Picasso,Rufino Tamayo,0.06597066436811504
Pablo Picasso,David Hockney,0.10013076020086645
Marc Chagall,Henri Matisse,0.23732012249929776
Marc Chagall,Fernand Léger,0.13024598056365627
Marc Chagall,Raoul Dufy,0.07778410169336161
Marc Chagall,Georges Braque,0.15129852952344128
Marc Chagall,Léonard Tsuguharu Foujita,0.07634280765833924
Marc Chagall,Bernard Buffet,0.07364418639510135
Marc Chagall,Pierre Bonnard,0.06106582030928332
Marc Chagall,Henri de Toulouse-Lautrec,0.08765811967849971
Marc Chagall,Camille Pissarro,0.06566566289857508
Marc Chagall,Jacques Villon,0.03897466878044426
Joan Miró,Pablo Picasso,0.3604980636060054
Joan Miró,Salvador Dalí,0.21045109395892778
Joan Miró,Antoni Tàpies,0.08561297219016817
Joan Miró,Francisco José de Goya,0.07446247510979374
Joan Miró,Alberto Giacometti,0.03532067288059826
Joan Miró,Rufino Tamayo,0.064997054751112
Joan Miró,Marino Marini,0.04654173496091399
Joan Miró,Giorgio de Chirico,0.04470455799983677
Joan Miró,Man Ray,0.04133240697539242
Joan Miró,René Magritte,0.036078967567251354
Rembrandt van Rijn,Giovanni Battista Piranesi,0.16686767599985303
Rembrandt van Rijn,James A. M. Whistler,0.16432803889426556
Rembrandt van Rijn,James Abbott McNeill Whistler,0.11230599241658053
Rembrandt van Rijn,Mary Cassatt,0.08436349988800138
Rembrandt van Rijn,Édouard Manet,0.07295929882701606
Rembrandt van Rijn,Camille Pissarro,0.10137227886733421
Rembrandt van Rijn,James Jacques Joseph Tissot,0.09003560488041579
Rembrandt van Rijn,Edgar Degas,0.06868094794799712
Rembrandt van Rijn,John James Audubon,0.07553047859222836
Rembrandt van Rijn,Anders Zorn,0.06355618368630792
Andy Warhol,Roy Lichtenstein,0.1985378993066615
Andy Warhol,Tom Wesselmann,0.09928811484926588
Andy Warhol,Robert Indiana,0.09136910145980896
Andy Warhol,Keith Haring,0.133580094227591
Andy Warhol,KAWS,0.07124222674517224
Andy Warhol,Jasper Johns,0.089507109851481
Andy Warhol,Alex Katz,0.07331365998164115
Andy Warhol,Donald Sultan,0.07219528475120136
Andy Warhol,Ed Ruscha,0.07621512283230064
Andy Warhol,Robert Rauschenberg,0.09475138599487633
David Hockney,Richard Hamilton,0.12589783044782357
David Hockney,Francis Bacon,0.08302962875621618
David Hockney,Patrick Hughes,0.10571942768202693
David Hockney,Julian Opie,0.09640668085056357
David Hockney,Edward Bawden,0.06576920772411503
David Hockney,Tracey Emin,0.12440553074201428
David Hockney,Damien Hirst,0.1555900389100439
David Hockney,David Shrigley,0.11374370103081313
David Hockney,Graham Sutherland,0.07219118165249007
David Hockney,Ben Nicholson,0.05724677220389329
Salvador Dalí,Joan Miró,0.2661166261662794
Salvador Dalí,Antoni Tàpies,0.08032142386393186
Salvador Dalí,Pablo Picasso,0.3254962341253679
Salvador Dalí,Francisco José de Goya,0.07334080674165896
Salvador Dalí,Marino Marini,0.04437309242706227
Salvador Dalí,Man Ray,0.03959518533567599
Salvador Dalí,Rufino Tamayo,0.06106644030348837
Salvador Dalí,René Magritte,0.034659258594969905
